,X10_5N_H_N_0,X11_5N_H_N_0,X12_5N_H_N_0,X13_5N_H_N_0,X14_5N_H_N_0,X15_5N_H_N_0,X16_5N_H_N_0,X17_5N_H_N_0,X18_5N_H_N_0,X19_5N_H_N_0,X20_5N_H_N_0
Otu1,0.0332465600595017,0.0381926366679063,0.0286723689103756,0.0119003346969134,0.0239494235775381,0.0277798438081071,0.0124581628858312,0.0422833767199702,0.060468575678691,0.0177017478616586,0.0351431759018222
Otu2,0.0435477872815173,0.0247675715879509,0.0162885831164001,0.0144663443659353,0.0430271476385273,0.0021941242097434,0.022461881740424,0.00624767571587951,0.00122722201561919,0.0159166976571216,0.0123465972480476
Otu3,0.0140572703607289,0.026031982149498,0.0274823354406843,0.0123094087021197,0.0156191892896988,0.0294533283748605,0.0123465972480476,0.0337671997024916,0.0314986984008925,0.0135738192636668,0.0181851989587207
Otu4,0.0316474525846039,0.025771662328003,0.0147638527333581,0.00628486426180736,0.0280029750836742,0.00383042023056898,0.0119747117887691,0.00855336556340647,0.00554109334325028,0.0214577910003719,0.0156935663815545
Otu5,0.00238006693938267,7.43770918557084e-05,0.000595016734845668,0,7.43770918557084e-05,0.00226850130159911,0.000520639642989959,0.00427668278170324,0.00104127928597992,0.000483451097062105,0.00171067311268129
Otu7,0.0247675715879509,0.0455559687616214,0.0159538862030495,0.0294905169207884,0.0207140200818148,0.0145035329118631,0.0180736333209372,0.00647080699144663,0.00725176645593157,0.00632205280773522,0.00725176645593157
Otu8,0.0202305689847527,0.00587579025660097,0.00301227222015619,0.00996653030866493,0.00513201933804388,0.00814429155820007,0.00914838229825214,0.00394198586835255,0.00442543696541465,0.0026775753068055,0.00963183339531424
Otu10,0.00234287839345482,3.71885459278542e-05,3.71885459278542e-05,0.000595016734845668,0,0.000371885459278542,0.000446262551134251,7.43770918557084e-05,0.000223131275567125,0.000632205280773522,0.00866493120119003
Otu11,0.00952026775753068,0.00940870211974712,0.00628486426180736,0.00758646336928226,0.012755671253254,0.000557828188917813,0.00632205280773522,0.00197099293417627,0.00119003346969134,0.00405355150613611,0.00383042023056898
Otu12,0.00342134622536259,0.00420230568984753,0.00256600966902194,0.00290070658237263,0.00416511714391967,0.000669393826701376,0.00193380438824842,0.00338415767943473,0.000780959464484939,0.00215693566381554,0.00357010040907401
