,X10_17N_N_N_2,X11_17N_N_N_2,X12_17N_N_N_2,X13_17N_N_N_2,X14_17N_N_N_2,X15_17N_N_N_2,X16_17N_N_N_2,X17_17N_N_N_2,X18_17N_N_N_2,X19_17N_N_N_2,X20_17N_N_N_2
Otu1,0.0235031610264039,0.0645221271848271,0.0778356266269989,0.039791744142804,0.0153588694682038,0.0183339531424321,0.010710301227222,0.0248047601338788,0.0164745258460394,0.0639271104499814,0.0464856824098178
Otu2,0.0233172182967646,0.0200074377091856,0.0277426552621792,0.0335812569728524,0.0360728895500186,0.0222387504648568,0.0281517292673856,0.0163629602082559,0.019895872071402,0.018110821866865,0.0190777240609892
Otu3,0.0132391223503161,0.0251394570472295,0.0334696913350688,0.016065451840833,0.0106731126812942,0.00899962811454072,0.00825585719598364,0.0133878765340275,0.010449981405727,0.0282261063592414,0.0143547787281517
Otu4,0.0129416139828933,0.0278914094458907,0.0441799925622908,0.0253253997768687,0.0355522499070286,0.0301227222015619,0.0200074377091856,0.0088508739308293,0.0119003346969134,0.0217181108218669,0.0202677575306805
Otu5,0.00754927482335441,0.00252882112309409,0.0299739680178505,0.00145035329118631,0,0.000446262551134251,0.00725176645593157,0.00461137969505392,0.0101524730383042,0.000334696913350688,0.00133878765340275
Otu6,0.00754927482335441,3.71885459278542e-05,0,0,3.71885459278542e-05,0,0,0,0,0,0
Otu7,0.00583860171067311,0.0239122350316103,0.0106731126812942,0.00405355150613611,0.00821866865005578,0.0116400148754184,0.0115284492376348,0.00762365191521012,0.00762365191521012,0.00609892153216809,0.00587579025660097
Otu8,0.0116772034213462,0.016846411305318,0.0116400148754184,0.00974339903309781,0.0106359241353663,0.0108962439568613,0.0194496095202678,0.0201933804388248,0.0154704351059874,0.0116028263294905,0.0130531796206768
Otu10,0.00234287839345482,0.00710301227222016,0.000334696913350688,0.00290070658237263,0.000111565637783563,0.00204537002603198,0.00754927482335441,0.00104127928597992,0.00238006693938267,0.00312383785793975,0.0110449981405727
Otu11,0.0105987355894385,0.00717738936407586,0.0074748977314987,0.00654518408330234,0.0107474897731499,0.00725176645593157,0.00606173298624024,0.00539233915953886,0.00736333209371514,0.00282632949051692,0.00357010040907401
Otu12,0.00360728895500186,0.0043882484194868,0.00390479732242469,0.00360728895500186,0.00665674972108591,0.00304946076608405,0.00290070658237263,0.00673112681294161,0.00758646336928226,0.00680550390479732,0.00725176645593157
Otu13,0.00375604313871328,0.00502045370026032,0.00687988099665303,0.00561547043510599,0.0102268501301599,0.0111565637783563,0.00862774265526218,0.00635924135366307,0.00676831535886947,0.00922275939010785,0.00650799553737449
Otu14,0.0156563778356266,0.00561547043510599,0.00918557084417999,0.0162885831164001,0.00773521755299368,0.00587579025660097,0.00256600966902194,0.000818148010412793,0.00185942729639271,0.00245444403123838,0.00107846783190777
Otu15,0.000818148010412793,0.00520639642989959,0.00156191892896988,0.00159910747489773,0.00141316474525846,0.00156191892896988,0.00163629602082559,0.00104127928597992,0.00371885459278542,0.00197099293417627,0.00278914094458907
Otu16,0.00226850130159911,0.00323540349572332,0.00204537002603198,0.00223131275567125,0.00353291186314615,0.00197099293417627,0.00602454444031238,0.00520639642989959,0.00371885459278542,0.0140944589066568,0.00312383785793975
Otu17,0.000892525102268501,0.000855336556340647,0.00115284492376348,0.000557828188917813,0.00230568984752696,0.00100409074005206,0.00163629602082559,0.00215693566381554,0.00516920788397174,0.00245444403123838,0.00159910747489773
Otu18,0.00371885459278542,0.015805132019338,0.00888806247675716,0.00494607660840461,0.00613611007809595,0.00211974711788769,0.00293789512830048,0.00554109334325028,0.00855336556340647,0.00457419114912607,0.00918557084417999
Otu19,0.00249163257716623,0.00215693566381554,0.00163629602082559,0.00211974711788769,0.00368166604685757,0.0039791744142804,0.00293789512830048,0.0026031982149498,0.00264038676087765,0.00323540349572332,0.00223131275567125
Otu20,0.00725176645593157,0.000148754183711417,0.00409074005206396,0.000297508367422834,0,0.000111565637783563,0.00152473038304202,0.000929713648196356,0.0056898475269617,0.000148754183711417,0.000334696913350688
Otu21,0.00401636296020826,0.00316102640386761,0.00520639642989959,0.00524358497582744,0.00821866865005578,0.00557828188917813,0.00275195239866121,0.00468575678690963,0.00524358497582744,0.0043882484194868,0.00390479732242469
Otu22,0.00197099293417627,0.00119003346969134,0.00189661584232057,0.00141316474525846,0.00256600966902194,0.00185942729639271,0.00141316474525846,0.0026775753068055,0.00297508367422834,0.00226850130159911,0.0026775753068055
Otu23,0.00316102640386761,0.00115284492376348,0.000223131275567125,0.00182223875046486,0.00449981405727036,0.00252882112309409,0.000780959464484939,0.000929713648196356,0.000669393826701376,0.000780959464484939,0.000818148010412793
Otu24,0.00840461137969505,0.00740052063964299,0.00814429155820007,0.00840461137969505,0.00758646336928226,0.00728895500185943,0.00695425808850874,0.00844179992562291,0.00896243956861287,0.0070658237262923,0.00717738936407586
Otu25,0.00464856824098178,0.00204537002603198,0.00096690219412421,0.00297508367422834,0.000669393826701376,0.00133878765340275,0.00353291186314615,0.00167348456675344,0.0026775753068055,0.00223131275567125,0.00297508367422834
Otu26,0.00156191892896988,0.00390479732242469,0.00435105987355894,0.00290070658237263,0.00290070658237263,0.0057642246188174,0.00297508367422834,0.00405355150613611,0.00278914094458907,0.00892525102268501,0.00676831535886947
Otu27,0.00420230568984753,0.00122722201561919,0.00145035329118631,0.00565265898103384,0.00635924135366307,0.00643361844551878,0.00327259204165117,0.00334696913350688,0.00383042023056898,0.00185942729639271,0.00223131275567125
Otu28,0.00107846783190777,0.00464856824098178,0.000818148010412793,0.00026031982149498,0.00252882112309409,0.00234287839345482,0.00334696913350688,0.00483451097062105,0.00278914094458907,0.00185942729639271,0.000780959464484939
Otu29,0.0013015991074749,0.00316102640386761,0.00148754183711417,0.000557828188917813,0.00152473038304202,0.000929713648196356,0.00104127928597992,0.000929713648196356,0.000818148010412793,0.00100409074005206,0.000892525102268501
Otu30,0.00126441056154704,0.000818148010412793,0.00070658237262923,0.000855336556340647,0.00122722201561919,0.00070658237262923,0.000223131275567125,0.0021941242097434,0.00182223875046486,0.000409074005206396,0.000446262551134251
Otu31,0.00241725548531052,0.00580141316474526,0.00386760877649684,0.00286351803644477,0.00743770918557084,0.00278914094458907,0.00234287839345482,0.00643361844551878,0.00710301227222016,0.00264038676087765,0.00557828188917813
Otu32,0.00494607660840461,0.000483451097062105,0.0026775753068055,0.00323540349572332,0.00193380438824842,0.00316102640386761,0.00215693566381554,0.00394198586835255,0.00364447750092971,0.00479732242469319,0.00185942729639271
Otu33,0.0021941242097434,0.00104127928597992,0,0.00096690219412421,3.71885459278542e-05,0.00026031982149498,0.0229453328374861,0.000111565637783563,0.000632205280773522,0,0.00104127928597992
Otu34,0,0,0,0,0,0,0,0,0,0,7.43770918557084e-05
Otu35,0.00357010040907401,0.00502045370026032,0.00171067311268129,0.00189661584232057,0.0026031982149498,0.00286351803644477,0.00375604313871328,0.00606173298624024,0.00316102640386761,0.00535515061361101,0.00412792859799182
Otu36,0.00892525102268501,0.0057642246188174,0.0052807735217553,0.00643361844551878,0.00780959464484939,0.00446262551134251,0.00476013387876534,0.00799553737448866,0.00933432502789141,0.00676831535886947,0.00669393826701376
Otu37,0.0034957233172183,0.00435105987355894,0.0061732986240238,0.00412792859799182,0.00550390479732242,0.00301227222015619,0.00252882112309409,0.00591297880252882,0.00591297880252882,0.00505764224618817,0.00502045370026032
Otu38,0.00100409074005206,0.00327259204165117,0.00104127928597992,0.000595016734845668,0.000780959464484939,0.000520639642989959,0.000520639642989959,0.00163629602082559,0.00137597619933061,0.00070658237262923,0.00122722201561919
Otu39,0.00412792859799182,0.00182223875046486,0.00241725548531052,0.00342134622536259,0.000892525102268501,0.0013015991074749,0.00364447750092971,0.00371885459278542,0.00137597619933061,0.00182223875046486,0.00230568984752696
Otu40,0.000818148010412793,0.00152473038304202,0.00204537002603198,0.000743770918557084,0.00185942729639271,0.00278914094458907,0.00122722201561919,0.00304946076608405,0.00323540349572332,0.00148754183711417,0.00282632949051692
Otu41,0.00167348456675344,0.00145035329118631,0.00189661584232057,0.00111565637783563,0.00360728895500186,0.00379323168464113,0.000818148010412793,0.00189661584232057,0.00163629602082559,0.00107846783190777,0.00115284492376348
Otu42,0.00226850130159911,0.00319821494979546,0.00390479732242469,0.00342134622536259,0.00342134622536259,0.00256600966902194,0.00264038676087765,0.00182223875046486,0.00256600966902194,0.00119003346969134,0.00171067311268129
Otu43,0.00111565637783563,0.00524358497582744,0.00241725548531052,0.00111565637783563,0.00100409074005206,0.00171067311268129,0.00264038676087765,0.00174786165860915,0.000818148010412793,0.00148754183711417,0.00167348456675344
Otu44,0.0123094087021197,0.00695425808850874,0.00948307921160283,0.0137225734473782,0.0164373373001116,0.0115656377835627,0.011230940870212,0.0126069170695426,0.014020081814801,0.0088508739308293,0.0096690219412421
Otu45,0.000929713648196356,0.00278914094458907,0.00461137969505392,0.00193380438824842,0.00319821494979546,0.00420230568984753,0.00215693566381554,0.00513201933804388,0.00375604313871328,0.00282632949051692,0.00290070658237263
Otu46,0.000743770918557084,0.00461137969505392,0.00431387132763109,0.00111565637783563,0.00401636296020826,0.00185942729639271,0.00145035329118631,0.00490888806247676,0.00502045370026032,0.00234287839345482,0.00345853477129044
Otu47,0.00156191892896988,0.00613611007809595,0.00606173298624024,0.00126441056154704,0.00505764224618817,0.0048716995165489,0.00104127928597992,0.00621048716995165,0.00383042023056898,0.00702863518036445,0.00245444403123838
Otu48,0.00301227222015619,0.00423949423577538,0.00401636296020826,0.00204537002603198,0.00197099293417627,0.000595016734845668,0.000929713648196356,0.00368166604685757,0.00282632949051692,0.00197099293417627,0.00323540349572332
Otu49,0.00197099293417627,0.000520639642989959,0.00096690219412421,0.00234287839345482,0.00223131275567125,0.00115284492376348,0.000818148010412793,0.0021941242097434,0.0026031982149498,0.000185942729639271,0.000818148010412793
Otu51,0.00026031982149498,0.00096690219412421,0.00226850130159911,0.000371885459278542,0.00234287839345482,0.000557828188917813,0.00026031982149498,0.000557828188917813,0.000557828188917813,0.000148754183711417,0.00026031982149498
Otu52,0.00301227222015619,0.00312383785793975,0.00502045370026032,0.00539233915953886,0.00609892153216809,0.0030866493120119,0.00412792859799182,0.001785050204537,0.00200818148010413,0.00241725548531052,0.00126441056154704
Otu53,0.000334696913350688,0.000334696913350688,0.00163629602082559,0.000297508367422834,0.000446262551134251,0.000520639642989959,0.000185942729639271,7.43770918557084e-05,0,0.000148754183711417,0.000111565637783563
Otu54,0.000818148010412793,0.00159910747489773,0.000371885459278542,0.000632205280773522,0.00026031982149498,0.00122722201561919,0.00070658237262923,0.000409074005206396,0.00070658237262923,3.71885459278542e-05,0.000223131275567125
Otu55,0.000297508367422834,0.000185942729639271,0.000371885459278542,3.71885459278542e-05,0.000111565637783563,3.71885459278542e-05,0.000223131275567125,0,7.43770918557084e-05,0.000111565637783563,7.43770918557084e-05
Otu56,0.00163629602082559,0.00249163257716623,0.000892525102268501,0.00316102640386761,0.00375604313871328,0.00145035329118631,0.00137597619933061,0.00252882112309409,0.00316102640386761,0.00152473038304202,0.0021941242097434
Otu57,0.000632205280773522,0.000929713648196356,0.00026031982149498,0.000780959464484939,0.00126441056154704,0.000371885459278542,0.000297508367422834,0.000557828188917813,0.000520639642989959,0.000409074005206396,0.000334696913350688
Otu60,0.00096690219412421,0.00100409074005206,0.000483451097062105,0.000780959464484939,0.00275195239866121,0.00104127928597992,0.000557828188917813,0.0021941242097434,0.00264038676087765,0.00104127928597992,0.00152473038304202
Otu62,0,0,0,0,0,0.000446262551134251,0.000780959464484939,0,0,0,0.000148754183711417
Otu63,0.00070658237262923,0.000557828188917813,0.00096690219412421,0.00096690219412421,0.00119003346969134,0.000557828188917813,0.000111565637783563,0.00126441056154704,0.000780959464484939,0.00141316474525846,0.00122722201561919
Otu64,0.00208255857195984,0.0043882484194868,0.00338415767943473,0.00271476385273336,0.00427668278170324,0.00323540349572332,0.0026775753068055,0.00468575678690963,0.00472294533283749,0.00621048716995165,0.00572703607288955
Otu65,0.00379323168464113,0.00654518408330234,0.00609892153216809,0.00304946076608405,0.00182223875046486,0.00241725548531052,0.00256600966902194,0.00234287839345482,0.0026775753068055,0.00159910747489773,0.00133878765340275
Otu66,0.00152473038304202,0.00204537002603198,0.0013015991074749,0.00182223875046486,0.00107846783190777,0.00197099293417627,0.00375604313871328,0.00215693566381554,0.00133878765340275,0.00215693566381554,0.00249163257716623
Otu67,0.00070658237262923,0.00312383785793975,0.00238006693938267,0.000780959464484939,0.00234287839345482,0.000892525102268501,0.000892525102268501,0.00319821494979546,0.00461137969505392,0.00215693566381554,0.00375604313871328
Otu68,0.000409074005206396,0.000743770918557084,0.000297508367422834,0.000446262551134251,0.00148754183711417,0.00193380438824842,0.000892525102268501,0.000818148010412793,0.000185942729639271,0.000148754183711417,0.00070658237262923
