,X10_4S_H_C_2,X11_4S_H_C_2,X12_4S_H_C_2,X13_4S_H_C_2,X14_4S_H_C_2,X15_4S_H_C_2,X16_4S_H_C_2,X17_4S_H_C_2,X18_4S_H_C_2,X19_4S_H_C_2,X20_4S_H_C_2
Otu1,0.011491260691707,0.0184455187802157,0.0117515805132019,0.0248419486798066,0.0808107103012272,0.0182595760505764,0.0547415396058014,0.0571959836370398,0.0438452956489401,0.0420230568984753,0.0374488657493492
Otu2,0.031387132763109,0.0481591669765712,0.115470435105987,0.0683525474153961,0.0294533283748605,0.0264410561547044,0.0510970621048717,0.0154332465600595,0.0215693566381554,0.0304574191149126,0.0374116772034213
Otu3,0.00829304574191149,0.00847898847155076,0.00840461137969505,0.0161770174786166,0.0217552993677947,0.0125325399776869,0.0172182967645965,0.023205652658981,0.0186686500557828,0.0149869840089253,0.014020081814801
Otu4,0.0189661584232057,0.053068055039048,0.0646336928226106,0.0327259204165117,0.0312755671253254,0.028821123094087,0.02755671253254,0.00587579025660097,0.0138341390851618,0.0279285979918185,0.0366679062848643
Otu5,0.047452584603942,0.00137597619933061,0.0202677575306805,0.00245444403123838,0.00665674972108591,0.00911119375232428,0.00204537002603198,0.00304946076608405,0.000297508367422834,0.000557828188917813,0.000483451097062105
Otu6,0,3.71885459278542e-05,3.71885459278542e-05,0,3.71885459278542e-05,0,0,0,0,0,0
Otu7,0.0124209743399033,0.0383042023056899,0.0083674228337672,0.0127184827073261,0.0117143919672741,0.0153216809222759,0.00758646336928226,0.00829304574191149,0.00873930829304574,0.00416511714391967,0.00498326515433247
Otu8,0.0100409074005206,0.0146522870955746,0.00665674972108591,0.00922275939010785,0.0107846783190777,0.0119003346969134,0.00732614354778728,0.0119375232428412,0.0108590554109334,0.00624767571587951,0.00847898847155076
Otu10,0.00122722201561919,0.000223131275567125,0.000223131275567125,3.71885459278542e-05,0,0.00070658237262923,0.0074748977314987,0.000185942729639271,0.00026031982149498,0.00163629602082559,0.000892525102268501
Otu11,0.00732614354778728,0.0190033469691335,0.0221271848270733,0.0146150985496467,0.0108590554109334,0.0122722201561919,0.00978058757902566,0.00840461137969505,0.0074748977314987,0.0100037188545928,0.0154704351059874
Otu12,0.00230568984752696,0.00654518408330234,0.00513201933804388,0.00490888806247676,0.00632205280773522,0.00457419114912607,0.0026775753068055,0.00383042023056898,0.00691706954258089,0.0030866493120119,0.00360728895500186
Otu13,0.00606173298624024,0.0111193752324284,0.0123465972480476,0.00903681666046858,0.0070658237262923,0.00844179992562291,0.00643361844551878,0.00416511714391967,0.0074748977314987,0.00803272592041651,0.00565265898103384
Otu14,0.00996653030866493,0.00490888806247676,0.00710301227222016,0.00390479732242469,0.00316102640386761,0.00256600966902194,0.0026775753068055,0.000818148010412793,0.000371885459278542,0.00156191892896988,0.0026031982149498
Otu15,0.00286351803644477,0.00119003346969134,0.00115284492376348,0.00070658237262923,0.000557828188917813,0.00185942729639271,0.00145035329118631,0.00278914094458907,0.00290070658237263,0.00133878765340275,0.00119003346969134
Otu16,0.00301227222015619,0.00502045370026032,0.00286351803644477,0.00483451097062105,0.00479732242469319,0.00371885459278542,0.00371885459278542,0.00799553737448866,0.00684269245072518,0.0039791744142804,0.00319821494979546
Otu17,0.00119003346969134,0.00327259204165117,0.00122722201561919,0.001785050204537,0.00323540349572332,0.00208255857195984,0.00423949423577538,0.00409074005206396,0.00375604313871328,0.00174786165860915,0.00152473038304202
Otu18,0.00342134622536259,0.00580141316474526,0.00189661584232057,0.00453700260319821,0.00386760877649684,0.00357010040907401,0.00200818148010413,0.00762365191521012,0.0105987355894385,0.00490888806247676,0.00449981405727036
Otu19,0.0026775753068055,0.001785050204537,0.0026031982149498,0.00230568984752696,0.00256600966902194,0.00409074005206396,0.00230568984752696,0.00427668278170324,0.00293789512830048,0.00334696913350688,0.00286351803644477
Otu20,0.0123094087021197,0.00026031982149498,0.0115656377835627,3.71885459278542e-05,0.000297508367422834,0.00111565637783563,0.00122722201561919,0.000483451097062105,3.71885459278542e-05,0.000148754183711417,7.43770918557084e-05
Otu21,0.00323540349572332,0.00423949423577538,0.00357010040907401,0.00695425808850874,0.00412792859799182,0.00476013387876534,0.0039791744142804,0.00550390479732242,0.00632205280773522,0.00197099293417627,0.00159910747489773
Otu22,0.00193380438824842,0.00461137969505392,0.0034957233172183,0.00368166604685757,0.00379323168464113,0.00230568984752696,0.00208255857195984,0.00297508367422834,0.00390479732242469,0.00245444403123838,0.00275195239866121
Otu23,0.00174786165860915,0.0013015991074749,0.00200818148010413,0.00256600966902194,0.0070658237262923,0.00401636296020826,0.00271476385273336,0.00565265898103384,0.000780959464484939,0.0013015991074749,0.000483451097062105
Otu24,0.0048716995165489,0.00643361844551878,0.00435105987355894,0.00691706954258089,0.00446262551134251,0.00680550390479732,0.00546671625139457,0.00602454444031238,0.00665674972108591,0.00409074005206396,0.00509483079211603
Otu25,0.00204537002603198,0.000818148010412793,0.000446262551134251,0.00111565637783563,0.000297508367422834,0.000557828188917813,0.00096690219412421,0.00234287839345482,0.00145035329118631,0.00100409074005206,0.00111565637783563
Otu26,0.00211974711788769,0.00182223875046486,0.000371885459278542,0.00145035329118631,0.00100409074005206,0.00163629602082559,0.000743770918557084,0.00159910747489773,0.00364447750092971,0.00211974711788769,0.00189661584232057
Otu27,0.00609892153216809,0.00420230568984753,0.00937151357381926,0.00914838229825214,0.00825585719598364,0.00710301227222016,0.00635924135366307,0.00613611007809595,0.00327259204165117,0.00483451097062105,0.00502045370026032
Otu28,0.000334696913350688,0.00810710301227222,0.0065823726292302,0.0074748977314987,0.0137225734473782,0.00420230568984753,0.00215693566381554,0.00420230568984753,0.00327259204165117,0.00290070658237263,0.00278914094458907
Otu29,0.00215693566381554,0.00479732242469319,0.0021941242097434,0.00223131275567125,0.00420230568984753,0.00360728895500186,0.00171067311268129,0.00330978058757903,0.00122722201561919,0.001785050204537,0.00204537002603198
Otu30,0.00133878765340275,0.0021941242097434,0.00152473038304202,0.00148754183711417,0.00316102640386761,0.00211974711788769,0.000855336556340647,0.00197099293417627,0.00290070658237263,0.00185942729639271,0.00126441056154704
Otu31,0.00319821494979546,0.00516920788397174,0.00301227222015619,0.00409074005206396,0.00345853477129044,0.00338415767943473,0.00208255857195984,0.00461137969505392,0.00673112681294161,0.00200818148010413,0.00275195239866121
Otu32,0.00282632949051692,0.000818148010412793,0.001785050204537,0.00126441056154704,0.000148754183711417,0.00119003346969134,0.00185942729639271,0.00119003346969134,0.00167348456675344,0.00271476385273336,0.00215693566381554
Otu33,7.43770918557084e-05,3.71885459278542e-05,3.71885459278542e-05,0.000148754183711417,3.71885459278542e-05,0.000557828188917813,0.000855336556340647,0.000111565637783563,0,0.000557828188917813,0.000409074005206396
Otu34,3.71885459278542e-05,0,0,0,3.71885459278542e-05,0,0,0,0,0,0
Otu35,0.00223131275567125,0.00520639642989959,0.00159910747489773,0.00457419114912607,0.00334696913350688,0.0026775753068055,0.00145035329118631,0.00334696913350688,0.0039791744142804,0.00338415767943473,0.00334696913350688
Otu36,0.00799553737448866,0.00736333209371514,0.00665674972108591,0.00687988099665303,0.0048716995165489,0.00583860171067311,0.00416511714391967,0.00565265898103384,0.00647080699144663,0.00435105987355894,0.00535515061361101
Otu37,0.00290070658237263,0.00554109334325028,0.00338415767943473,0.00412792859799182,0.00316102640386761,0.00330978058757903,0.00133878765340275,0.00148754183711417,0.00483451097062105,0.00230568984752696,0.00282632949051692
Otu38,0.00104127928597992,0.00171067311268129,0.000520639642989959,0.00119003346969134,0.00159910747489773,0.00137597619933061,0.000557828188917813,0.00264038676087765,0.00137597619933061,0.000557828188917813,0.000446262551134251
Otu39,0.0030866493120119,0.000557828188917813,0.000520639642989959,0.00208255857195984,0.00026031982149498,0.00159910747489773,0.000818148010412793,0.00174786165860915,0.0013015991074749,0.00115284492376348,0.00111565637783563
Otu40,0.000855336556340647,0.00245444403123838,0.00167348456675344,0.00115284492376348,0.000892525102268501,0.00215693566381554,0.000929713648196356,0.00156191892896988,0.00286351803644477,0.00137597619933061,0.00100409074005206
Otu41,0.00234287839345482,0.00364447750092971,0.00193380438824842,0.00297508367422834,0.00401636296020826,0.0034957233172183,0.00264038676087765,0.00468575678690963,0.00238006693938267,0.00185942729639271,0.00156191892896988
Otu42,0.00383042023056898,0.00557828188917813,0.00940870211974712,0.00490888806247676,0.00323540349572332,0.00394198586835255,0.00371885459278542,0.00409074005206396,0.00290070658237263,0.00535515061361101,0.00587579025660097
