,X10_6S_N_C_1,X11_6S_N_C_1,X12_6S_N_C_1,X13_6S_N_C_1,X14_6S_N_C_1,X15_6S_N_C_1,X16_6S_N_C_1,X17_6S_N_C_1,X18_6S_N_C_1,X19_6S_N_C_1,X20_6S_N_C_1
Otu1,0.0233915953886203,0.0175529936779472,0.0843808107103012,0.0330606173298624,0.20156191892897,0.0375232428412049,0.0371141688359985,0.045146894756415,0.0330234287839345,0.071178876905913,0.0302342878393455
Otu2,0.0406470806991447,0.0172554853105244,0.0343250278914094,0.0270732614354779,0.0519152101152845,0.0218668650055783,0.0231684641130532,0.0172926738564522,0.0310896243956861,0.0402008181480104,0.0108590554109334
Otu3,0.0113425065079955,0.00635924135366307,0.0200818148010413,0.0102268501301599,0.0310524358497583,0.010970621048717,0.00866493120119003,0.0178876905912979,0.00978058757902566,0.0218668650055783,0.00922275939010785
Otu4,0.0374116772034213,0.0202305689847527,0.0548159166976571,0.00717738936407586,0.00461137969505392,0.0065823726292302,0.014020081814801,0.013015991074749,0.00833023428783934,0.025771662328003,0.00989215321680922
Otu5,0.000929713648196356,0.00401636296020826,0.0174414280401636,0.000185942729639271,0.000446262551134251,0.000818148010412793,0.00661956117515805,0.00230568984752696,0.00026031982149498,0,0.00226850130159911
Otu6,0.000111565637783563,7.43770918557084e-05,0.000223131275567125,0,0,0,0,0,0,0,0
Otu7,0.00542952770546672,0.0169951654890294,0.0123837857939755,0.0132019338043882,0.0102640386760878,0.00825585719598364,0.0126812941613983,0.00557828188917813,0.0123094087021197,0.0106359241353663,0.00948307921160283
Otu8,0.0119747117887691,0.0116028263294905,0.0101524730383042,0.0178876905912979,0.0134250650799554,0.0246931944960952,0.0156935663815545,0.0170695425808851,0.0149497954629974,0.0107474897731499,0.015061361100781
Otu10,0.00141316474525846,0.000371885459278542,0.000371885459278542,0.000892525102268501,3.71885459278542e-05,0.000595016734845668,7.43770918557084e-05,0.00148754183711417,0.00156191892896988,0.00156191892896988,0.0114540721457791
Otu11,0.00721457791000372,0.00676831535886947,0.0133878765340275,0.00732614354778728,0.00587579025660097,0.00557828188917813,0.0118631461509855,0.0056898475269617,0.00799553737448866,0.00881368538490145,0.00453700260319821
Otu12,0.00468575678690963,0.00394198586835255,0.00357010040907401,0.00193380438824842,0.00245444403123838,0.00394198586835255,0.00249163257716623,0.00565265898103384,0.00468575678690963,0.00416511714391967,0.00357010040907401
Otu13,0.0092599479360357,0.00732614354778728,0.00572703607288955,0.00230568984752696,0.00323540349572332,0.00483451097062105,0.00606173298624024,0.00669393826701376,0.00725176645593157,0.0118631461509855,0.00583860171067311
Otu14,0.0102268501301599,0.00204537002603198,0.0124581628858312,0.001785050204537,0.0132391223503161,0.00215693566381554,0.00539233915953886,0.00133878765340275,0.000669393826701376,0.00245444403123838,0.000818148010412793
Otu15,0.00100409074005206,0.00301227222015619,0.00204537002603198,0.00111565637783563,0.000371885459278542,0.000483451097062105,0.000855336556340647,0.00357010040907401,0.00241725548531052,0.000446262551134251,0.00580141316474526
Otu16,0.00327259204165117,0.00379323168464113,0.00301227222015619,0.00171067311268129,0.00301227222015619,0.00368166604685757,0.00278914094458907,0.00665674972108591,0.00502045370026032,0.00442543696541465,0.00550390479732242
Otu17,0.000818148010412793,0.00204537002603198,0.00189661584232057,0.00104127928597992,0.00189661584232057,0.00174786165860915,0.00122722201561919,0.00286351803644477,0.00241725548531052,0.00301227222015619,0.00163629602082559
