,X10_22N_H_N_2,X11_22N_H_N_2,X12_22N_H_N_2,X13_22N_H_N_2,X14_22N_H_N_2,X15_22N_H_N_2,X16_22N_H_N_2,X17_22N_H_N_2,X18_22N_H_N_2,X19_22N_H_N_2,X20_22N_H_N_2
Otu1514,0.00369685767097967,0,0.00369685767097967,0,0,0,0,0,0,0.0055452865064695,0.00184842883548983
Otu53,0.0166358595194085,0.133086876155268,0.00184842883548983,0.0203327171903882,0,0.0055452865064695,0.00739371534195933,0.011090573012939,0.0147874306839187,0.0277264325323475,0.0147874306839187
Otu5576,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00924214417744917,0,0.00184842883548983,0,0
Otu143,0.00739371534195933,0,0.00739371534195933,0,0,0.022181146025878,0.00184842883548983,0.011090573012939,0.00184842883548983,0.0240295748613678,0
Otu52,0.022181146025878,0.151571164510166,0.0277264325323475,0.00924214417744917,0.0240295748613678,0.0258780036968577,0.0147874306839187,0.011090573012939,0.00739371534195933,0.0462107208872458,0.00739371534195933
Otu440,0,0,0,0,0,0,0.0147874306839187,0.00184842883548983,0,0,0
Otu9728,0.0258780036968577,0.00739371534195933,0.022181146025878,0.0646950092421442,0.0240295748613678,0,0.0683918669131238,0.0517560073937153,0.197781885397412,0.099815157116451,0.099815157116451
Otu21,0.0757855822550832,0.44177449168207,0.0499075785582255,0.0425138632162662,0.573012939001848,0.426987060998152,0.118299445471349,0.0942698706099815,0.088724584103512,0.0942698706099815,0.0850277264325323
Otu148,0.011090573012939,0.00924214417744917,0.044362292051756,0.0277264325323475,0.0055452865064695,0.033271719038817,0.0166358595194085,0.0147874306839187,0.011090573012939,0.0240295748613678,0.0055452865064695
Otu1308,0.022181146025878,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0,0
Otu409,0.00184842883548983,0,0.00184842883548983,0.0055452865064695,0,0,0,0,0,0.00739371534195933,0.00184842883548983
Otu146,0.00184842883548983,0.0055452865064695,0.00369685767097967,0.00369685767097967,0,0,0,0.011090573012939,0,0.011090573012939,0.0055452865064695
Otu9266,0,0,0.00184842883548983,0,0,0,0,0,0.00369685767097967,0,0
Otu640,0,0,0.00184842883548983,0,0,0,0,0.00369685767097967,0,0,0
Otu34,0,0,0,0,0,0,0,0.0055452865064695,0,0.00369685767097967,0
Otu325,0.0055452865064695,0,0,0.00369685767097967,0.011090573012939,0,0,0,0,0.00369685767097967,0.00184842883548983
