,X10_17S_N_C_2,X11_17S_N_C_2,X12_17S_N_C_2,X13_17S_N_C_2,X14_17S_N_C_2,X15_17S_N_C_2,X16_17S_N_C_2,X17_17S_N_C_2,X18_17S_N_C_2,X19_17S_N_C_2,X20_17S_N_C_2
Otu1514,0,0.00924214417744917,0,0.11275415896488,0.0055452865064695,0,0,0.00369685767097967,0,0,0
Otu53,0.00184842883548983,0.00739371534195933,0.0536044362292052,0.011090573012939,0,0.00184842883548983,0.168207024029575,0.077634011090573,0.00184842883548983,0.00184842883548983,0.00739371534195933
Otu5576,0,0,0,0,0,0,0,0.011090573012939,0.0129390018484288,0,0
Otu143,0,0.0129390018484288,0,0.0628465804066543,0.00924214417744917,0.0129390018484288,0.0240295748613678,0.0055452865064695,0,0,0.00739371534195933
Otu52,0.00369685767097967,0.0240295748613678,0.00369685767097967,0.00924214417744917,0.00739371534195933,0.00369685767097967,0.0406654343807763,0.0314232902033272,0.0369685767097967,0.0240295748613678,0.0258780036968577
Otu440,0,0,0,0.0055452865064695,0,0,0.00184842883548983,0,0,0.00739371534195933,0.00369685767097967
Otu9728,0.00184842883548983,0.033271719038817,0.0184842883548983,0.00739371534195933,0.0258780036968577,0.00924214417744917,0.00184842883548983,0.0388170055452865,0.0702402957486137,0.088724584103512,0.0609981515711645
Otu21,0.0646950092421442,0.162661737523105,0.0388170055452865,0.0184842883548983,0.0147874306839187,0.436229205175601,0.22181146025878,0.099815157116451,0.146025878003697,0.099815157116451,0.173752310536044
Otu148,0.00184842883548983,0.0184842883548983,0.0129390018484288,0.0351201478743068,0.0462107208872458,0.0184842883548983,0.0240295748613678,0.00369685767097967,0.00369685767097967,0.011090573012939,0.00739371534195933
Otu1308,0,0,0,0,0,0,0.00184842883548983,0,0.0055452865064695,0.00184842883548983,0.00184842883548983
Otu409,0.0055452865064695,0.00924214417744917,0.077634011090573,0,0,0,0.00369685767097967,0,0.00369685767097967,0,0
Otu146,0.00924214417744917,0.262476894639556,0,0,0,0,0.00184842883548983,0.00184842883548983,0.0055452865064695,0.011090573012939,0.00369685767097967
Otu9266,0,0,0,0.00184842883548983,0,0,0,0.00369685767097967,0,0,0
Otu640,0,0,0,0.0147874306839187,0.00369685767097967,0,0,0.00184842883548983,0.00184842883548983,0,0
Otu34,0.168207024029575,0,0,0.00184842883548983,0.0184842883548983,0,0,0.00369685767097967,0,0.00924214417744917,0.0055452865064695
Otu325,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu385,0.00184842883548983,0,0.00924214417744917,0.00369685767097967,0,0,0,0,0.0184842883548983,0,0.00184842883548983
Otu313,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0,0.00184842883548983,0.00739371534195933,0.011090573012939,0
Otu105,0,0,0,0,0,0,0.00924214417744917,0.0055452865064695,0,0,0
Otu14969,0,0,0,0,0.0055452865064695,0,0,0.00739371534195933,0.00184842883548983,0,0
Otu10360,0,0,0,0,0,0,0,0,0,0.00739371534195933,0
Otu290,0.00184842883548983,0.00369685767097967,0,0.00184842883548983,0,0.00924214417744917,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0
Otu277,0.00184842883548983,0.00369685767097967,0.0166358595194085,0.0813308687615527,0.0129390018484288,0.00184842883548983,0.00369685767097967,0,0.00184842883548983,0.00184842883548983,0
Otu118,0,0.0055452865064695,0.0055452865064695,0,0.00184842883548983,0,0.00369685767097967,0,0,0,0.00184842883548983
Otu4757,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu180,0,0,0,0,0,0,0,0.00184842883548983,0.00369685767097967,0,0
Otu1169,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu7789,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu882,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0.00184842883548983,0,0.00184842883548983,0
Otu628,0.00369685767097967,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu808,0,0.00184842883548983,0,0,0.00369685767097967,0,0.00369685767097967,0.00369685767097967,0.00369685767097967,0.00184842883548983,0.00184842883548983
Otu1753,0,0,0,0,0,0,0,0.00184842883548983,0.011090573012939,0,0
Otu7964,0,0,0.207024029574861,0,0,0,0,0.00369685767097967,0,0.00369685767097967,0
Otu823,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0,0.00184842883548983,0
Otu11878,0.00184842883548983,0.00924214417744917,0.00369685767097967,0.0055452865064695,0.0147874306839187,0,0.00184842883548983,0.00369685767097967,0,0,0
Otu56,0.0055452865064695,0.0055452865064695,0.0184842883548983,0.00924214417744917,0.0536044362292052,0.0129390018484288,0.022181146025878,0.0351201478743068,0.0240295748613678,0.0499075785582255,0.0184842883548983
Otu9,0.00739371534195933,0.0369685767097967,0.0924214417744917,0.125693160813309,0.184842883548983,0.0166358595194085,0.0462107208872458,0.0480591497227357,0.11645101663586,0.11275415896488,0.214417744916821
Otu141,0,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0.0055452865064695
Otu661,0.0055452865064695,0,0.00184842883548983,0.0055452865064695,0.0055452865064695,0.00184842883548983,0.0055452865064695,0.0147874306839187,0.0055452865064695,0.0055452865064695,0.0055452865064695
Otu327,0,0.00184842883548983,0.0055452865064695,0.00739371534195933,0,0,0,0,0.00369685767097967,0.00369685767097967,0
Otu571,0,0,0,0,0,0,0,0.0055452865064695,0.00184842883548983,0.00369685767097967,0
Otu1762,0,0.00184842883548983,0.0166358595194085,0,0.00369685767097967,0.00184842883548983,0,0,0,0.00369685767097967,0.00369685767097967
Otu353,0,0,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983
Otu380,0.00369685767097967,0.0055452865064695,0.00369685767097967,0.00369685767097967,0.0055452865064695,0.00184842883548983,0.00184842883548983,0,0.0055452865064695,0.00184842883548983,0
Otu48,0.00184842883548983,0.0683918669131238,0.0351201478743068,0.0055452865064695,0.0129390018484288,0,0.00369685767097967,0.0147874306839187,0.00924214417744917,0.00369685767097967,0.0055452865064695
Otu322,0,0,0,0.00184842883548983,0,0,0.00739371534195933,0.0147874306839187,0.0055452865064695,0.011090573012939,0.00369685767097967
Otu1112,0,0,0.00739371534195933,0,0.00184842883548983,0,0,0,0,0,0
Otu25,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0.00369685767097967,0.00184842883548983,0,0
Otu169,0.0055452865064695,0,0,0,0.00369685767097967,0.0166358595194085,0.0055452865064695,0.00184842883548983,0.00369685767097967,0.00184842883548983,0.00184842883548983
Otu9033,0,0.00184842883548983,0.00369685767097967,0.00184842883548983,0,0,0,0,0.00369685767097967,0,0
Otu7609,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu1146,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu184,0.00739371534195933,0.00739371534195933,0.00184842883548983,0.00369685767097967,0,0,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.00184842883548983,0.00184842883548983
Otu5814,0,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu2289,0,0,0,0,0,0,0,0,0.0055452865064695,0,0
Otu293,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0
Otu106,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983,0
Otu2054,0,0.00739371534195933,0.011090573012939,0.0499075785582255,0.0055452865064695,0.00184842883548983,0,0.00184842883548983,0,0.00184842883548983,0
Otu1200,0,0.00184842883548983,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983
Otu273,0.00369685767097967,0,0,0,0,0.00184842883548983,0.0240295748613678,0,0.00369685767097967,0.00369685767097967,0.00184842883548983
Otu165,0,0,0,0.00184842883548983,0.00184842883548983,0.0258780036968577,0,0.00369685767097967,0,0.00184842883548983,0
Otu383,0,0.022181146025878,0.00184842883548983,0,0,0,0,0.00369685767097967,0,0.00184842883548983,0
Otu354,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.00369685767097967,0.00184842883548983,0.011090573012939,0.00184842883548983,0.00369685767097967
Otu391,0.00184842883548983,0.00184842883548983,0,0,0.022181146025878,0,0,0,0,0,0
Otu13518,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu103,0.482439926062847,0.0129390018484288,0,0,0,0,0,0,0.0739371534195934,0,0
Otu129,0,0.00184842883548983,0.00184842883548983,0.0055452865064695,0,0,0.0258780036968577,0.0184842883548983,0.00924214417744917,0.0277264325323475,0.0129390018484288
Otu2612,0,0.0055452865064695,0,0,0.00184842883548983,0,0,0,0,0,0
Otu1923,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu2783,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu10902,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu159,0,0.0055452865064695,0,0,0.0055452865064695,0.0055452865064695,0,0.00739371534195933,0,0.00184842883548983,0.0055452865064695
Otu265,0,0,0.00184842883548983,0,0,0.00369685767097967,0.00184842883548983,0,0,0,0
Otu1674,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu191,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0.00739371534195933,0
Otu407,0,0,0,0,0,0,0.00184842883548983,0,0.0055452865064695,0,0
Otu192,0,0,0.00184842883548983,0,0,0,0,0.00924214417744917,0,0,0.00184842883548983
Otu157,0,0,0,0.0184842883548983,0,0.147874306839187,0.0055452865064695,0,0.0055452865064695,0,0.0055452865064695
Otu17,0.00184842883548983,0.0055452865064695,0,0,0,0,0,0,0.00184842883548983,0,0.00369685767097967
Otu878,0,0.0055452865064695,0,0,0,0,0,0.00369685767097967,0,0,0
Otu791,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu763,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983,0,0,0
Otu359,0,0.00184842883548983,0.00924214417744917,0,0,0,0.00369685767097967,0.00739371534195933,0,0,0
Otu13321,0,0,0,0,0,0,0,0,0,0.0055452865064695,0
Otu730,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0.0055452865064695,0
Otu401,0,0,0.0055452865064695,0,0,0,0,0.0055452865064695,0,0,0
Otu12284,0,0,0.00369685767097967,0.00184842883548983,0.0055452865064695,0,0,0.00184842883548983,0,0,0.00184842883548983
Otu794,0,0,0.0055452865064695,0,0,0,0,0,0,0,0
Otu89,0,0.00369685767097967,0.00184842883548983,0,0,0.00184842883548983,0,0.00184842883548983,0.0147874306839187,0.00369685767097967,0
Otu1817,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu181,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0.00369685767097967,0
Otu197,0.011090573012939,0,0,0.00184842883548983,0,0.00739371534195933,0.00184842883548983,0,0,0.00184842883548983,0
Otu817,0,0,0,0,0,0,0,0.0166358595194085,0.00369685767097967,0,0.00369685767097967
