,X10_18S_H_C_0,X11_18S_H_C_0,X12_18S_H_C_0,X13_18S_H_C_0,X14_18S_H_C_0,X15_18S_H_C_0,X16_18S_H_C_0,X17_18S_H_C_0,X18_18S_H_C_0,X19_18S_H_C_0,X20_18S_H_C_0
Otu1514,0.00924214417744917,0,0.00369685767097967,0.0203327171903882,0.0351201478743068,0.00184842883548983,0,0.00924214417744917,0.00184842883548983,0.0055452865064695,0.00924214417744917
Otu53,0.00369685767097967,0.0166358595194085,0.160813308687616,0.170055452865065,0.0166358595194085,0.11275415896488,0.0055452865064695,0.306839186691312,0.00739371534195933,0.055452865064695,0.0203327171903882
Otu5576,0.0757855822550832,0,0,0,0,0.0055452865064695,0.0055452865064695,0,0.0147874306839187,0,0
Otu143,0.011090573012939,0,0.0055452865064695,0.0831792975970425,0.0351201478743068,0.0720887245841035,0.00184842883548983,0.0147874306839187,0.00184842883548983,0.00184842883548983,0
Otu52,0.125693160813309,0.0240295748613678,0.011090573012939,0.011090573012939,0.0184842883548983,0.0850277264325323,0.0129390018484288,0.0573012939001848,0.055452865064695,0.0203327171903882,0.0184842883548983
Otu440,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu9728,0.0129390018484288,0.0258780036968577,0.0166358595194085,0.00924214417744917,0.0277264325323475,0.0240295748613678,0.00924214417744917,0.011090573012939,0.0258780036968577,0.0388170055452865,0.099815157116451
Otu21,0.138632162661738,0.0536044362292052,0.0147874306839187,0.0129390018484288,0.0147874306839187,0.142329020332717,0.157116451016636,0.066543438077634,0.0591497227356747,0.170055452865065,0.149722735674677
Otu148,0.00739371534195933,0.00184842883548983,0.00739371534195933,0.088724584103512,0.0406654343807763,0.0628465804066543,0.00184842883548983,0,0.00369685767097967,0,0.00184842883548983
Otu1308,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0.00369685767097967,0,0.00369685767097967
Otu409,0.00739371534195933,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu146,0.00924214417744917,0.123844731977819,0.00184842883548983,0.00739371534195933,0.0203327171903882,0.00369685767097967,0.00739371534195933,0.00184842883548983,0,0.0184842883548983,0
Otu9266,0.00369685767097967,0.00184842883548983,0,0,0,0,0,0,0,0,0.00184842883548983
Otu640,0,0,0.00369685767097967,0.0055452865064695,0.00369685767097967,0,0,0.00184842883548983,0,0,0
Otu34,0,0,0,0,0,0,0.00739371534195933,0.00369685767097967,0.00924214417744917,0.0203327171903882,0
Otu385,0,0,0,0,0.00184842883548983,0,0,0,0,0,0.00184842883548983
Otu313,0,0,0,0,0.0055452865064695,0,0,0,0,0.00184842883548983,0
Otu105,0,0,0,0.00739371534195933,0.00369685767097967,0,0,0.0166358595194085,0.00184842883548983,0,0
Otu14969,0.00369685767097967,0.0055452865064695,0,0,0,0,0.00369685767097967,0,0.00739371534195933,0,0
Otu10360,0.0129390018484288,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0
Otu290,0.0055452865064695,0.011090573012939,0.011090573012939,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0,0.0055452865064695,0.00369685767097967,0.00184842883548983
Otu277,0.011090573012939,0.0129390018484288,0,0.0314232902033272,0.0462107208872458,0.0166358595194085,0,0,0,0,0
Otu118,0.00369685767097967,0.0462107208872458,0.00369685767097967,0.00739371534195933,0,0,0.127541589648799,0.00184842883548983,0.00184842883548983,0.011090573012939,0.0129390018484288
Otu180,0,0,0,0,0,0,0.00184842883548983,0.0277264325323475,0.0166358595194085,0.00184842883548983,0.00184842883548983
Otu1169,0,0,0.0240295748613678,0.00369685767097967,0,0,0.00184842883548983,0,0,0,0.00184842883548983
Otu7789,0.00184842883548983,0.00184842883548983,0.00369685767097967,0,0,0.00184842883548983,0,0.00184842883548983,0.0055452865064695,0.00369685767097967,0.00184842883548983
Otu808,0.00924214417744917,0,0,0.00184842883548983,0,0.011090573012939,0.00369685767097967,0.00924214417744917,0.00369685767097967,0.00924214417744917,0.00184842883548983
Otu1753,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
