,X10_12N_N_N_2,X11_12N_N_N_2,X12_12N_N_N_2,X13_12N_N_N_2,X14_12N_N_N_2,X15_12N_N_N_2,X16_12N_N_N_2,X17_12N_N_N_2,X18_12N_N_N_2,X19_12N_N_N_2,X20_12N_N_N_2
Otu31,0.14527027027027,0.0472972972972973,0.317567567567568,0.0641891891891892,0.0439189189189189,0.0743243243243243,0.0743243243243243,0.138513513513514,0.0439189189189189,0.027027027027027,0.0371621621621622
Otu201,0,0.00337837837837838,0,0,0,0,0,0,0,0,0
Otu199,0.0675675675675676,0.0168918918918919,0,0,0,0,0,0,0,0,0
Otu315,0,0,0.00675675675675676,0,0,0,0,0,0,0,0
Otu212,0,0,0,0,0,0,0,0,0,0,0.0236486486486486
Otu1856,0,0.00337837837837838,0,0.0202702702702703,0.0405405405405405,0.0709459459459459,0.027027027027027,0.0135135135135135,0.00337837837837838,0.0810810810810811,0.0202702702702703
Otu117,0.0168918918918919,0.00337837837837838,0.027027027027027,0.0574324324324324,0.0236486486486486,0.0304054054054054,0.0101351351351351,0.0168918918918919,0.0304054054054054,0.0168918918918919,0.00337837837837838
Otu42,0,0.0608108108108108,0.0101351351351351,0.0101351351351351,0,0,0.0101351351351351,0.00337837837837838,0.00337837837837838,0.0236486486486486,0.0641891891891892
Otu24,0.027027027027027,0.192567567567568,0.0168918918918919,0.131756756756757,0.0641891891891892,0.0168918918918919,0.0135135135135135,0.0337837837837838,0.0472972972972973,0.0371621621621622,0.0371621621621622
Otu114,0,0.0135135135135135,0,0.0304054054054054,0.195945945945946,0.00337837837837838,0,0,0,0.00675675675675676,0
Otu198,0,0.00337837837837838,0,0,0,0,0,0,0,0,0.0101351351351351
Otu1768,0,0,0.0236486486486486,0,0,0,0,0.00337837837837838,0,0,0
Otu57,0,0.00337837837837838,0.0405405405405405,0.0101351351351351,0,0,0,0.0101351351351351,0,0.027027027027027,0
Otu32,0,0,0,0,0,0.10472972972973,0.027027027027027,0.0304054054054054,0.185810810810811,0.0236486486486486,0.0641891891891892
Otu3873,0.00337837837837838,0.00337837837837838,0,0.0101351351351351,0.125,0.00675675675675676,0.0337837837837838,0,0.00337837837837838,0.00337837837837838,0.027027027027027
Otu193,0,0,0,0,0,0,0,0,0,0,0.027027027027027
Otu9526,0.0135135135135135,0.0304054054054054,0.0202702702702703,0.0540540540540541,0.0101351351351351,0.00675675675675676,0.0304054054054054,0.0337837837837838,0,0.0202702702702703,0
Otu5,0.0101351351351351,0.125,0.00675675675675676,0.0709459459459459,0.027027027027027,0,0,0.0844594594594595,0.165540540540541,0.199324324324324,0
Otu3234,0,0,0.0135135135135135,0.0878378378378378,0.027027027027027,0,0,0.00337837837837838,0,0,0
Otu1213,0.0135135135135135,0.00337837837837838,0.0202702702702703,0,0,0,0,0.0202702702702703,0.0101351351351351,0.0405405405405405,0.027027027027027
Otu1020,0.00337837837837838,0,0,0.0168918918918919,0,0,0.00337837837837838,0,0,0,0
Otu109,0.00337837837837838,0.0202702702702703,0.0304054054054054,0.0135135135135135,0.00675675675675676,0.00337837837837838,0,0.00337837837837838,0.00675675675675676,0.0101351351351351,0.0135135135135135
Otu94,0.00675675675675676,0.0304054054054054,0,0,0,0,0,0,0.0135135135135135,0,0
Otu35,0.00337837837837838,0.00675675675675676,0,0.00675675675675676,0.0304054054054054,0.0574324324324324,0.0168918918918919,0.00675675675675676,0.00337837837837838,0.0202702702702703,0
Otu127,0.162162162162162,0,0,0,0,0,0.0135135135135135,0,0,0,0
Otu5288,0,0,0.0101351351351351,0,0,0,0,0,0,0,0
Otu121,0,0.0574324324324324,0.0641891891891892,0,0,0,0.0135135135135135,0.00337837837837838,0.0135135135135135,0,0.0168918918918919
Otu451,0.00337837837837838,0,0.0135135135135135,0.0101351351351351,0,0,0,0.00337837837837838,0.00337837837837838,0,0
Otu92,0,0.027027027027027,0,0,0,0,0,0,0,0.00337837837837838,0
Otu1298,0,0,0,0,0.0168918918918919,0,0,0,0,0,0
Otu123,0.0743243243243243,0,0.0236486486486486,0.0101351351351351,0,0.0202702702702703,0.0135135135135135,0.00675675675675676,0,0,0.0135135135135135
Otu23,0.0101351351351351,0.0168918918918919,0.0168918918918919,0.0743243243243243,0.0101351351351351,0.179054054054054,0.0608108108108108,0.0371621621621622,0.0405405405405405,0.0337837837837838,0.027027027027027
Otu60,0.00675675675675676,0.0135135135135135,0.00675675675675676,0,0.0202702702702703,0.0304054054054054,0.0101351351351351,0.00675675675675676,0.0202702702702703,0.0101351351351351,0.0236486486486486
