,X10_15N_H_N_0,X11_15N_H_N_0,X12_15N_H_N_0,X13_15N_H_N_0,X14_15N_H_N_0,X15_15N_H_N_0,X16_15N_H_N_0,X17_15N_H_N_0,X18_15N_H_N_0,X19_15N_H_N_0,X20_15N_H_N_0
Otu31,0.0371621621621622,0,0,0.00337837837837838,0.027027027027027,0.0202702702702703,0.00675675675675676,0.0371621621621622,0.0304054054054054,0.277027027027027,0.027027027027027
Otu201,0.00337837837837838,0.00337837837837838,0.0101351351351351,0.0135135135135135,0.0135135135135135,0,0,0.00337837837837838,0,0,0.00337837837837838
Otu315,0,0,0,0,0,0,0.00337837837837838,0,0,0.0101351351351351,0
Otu212,0,0,0,0,0,0,0.236486486486486,0,0.0202702702702703,0.0236486486486486,0
Otu1856,0.0202702702702703,0,0,0,0,0.0540540540540541,0,0,0.0236486486486486,0.00675675675675676,0
Otu117,0.0101351351351351,0,0,0,0,0.00675675675675676,0.00337837837837838,0,0.0337837837837838,0.0202702702702703,0.0168918918918919
Otu42,0.141891891891892,0.0540540540540541,0.22972972972973,0.195945945945946,0.597972972972973,0.172297297297297,0.00337837837837838,0.0371621621621622,0.0337837837837838,0.0135135135135135,0.148648648648649
Otu24,0.0439189189189189,0.449324324324324,0.189189189189189,0.0574324324324324,0.135135135135135,0.10472972972973,0,0.138513513513514,0.0135135135135135,0.0168918918918919,0.0371621621621622
Otu114,0.0168918918918919,0,0,0,0,0,0,0.0101351351351351,0.00337837837837838,0,0
Otu198,0,0,0.00675675675675676,0,0,0,0,0,0.0101351351351351,0,0
Otu1768,0,0,0,0,0,0.0912162162162162,0,0,0,0,0
Otu57,0,0,0.0101351351351351,0,0,0,0.0101351351351351,0,0.00337837837837838,0,0
Otu32,0.0304054054054054,0,0,0,0,0.0236486486486486,0,0,0,0,0.00337837837837838
Otu3873,0.0101351351351351,0,0,0,0,0,0,0,0.00337837837837838,0.00337837837837838,0
Otu193,0.0777027027027027,0,0.00675675675675676,0.00337837837837838,0,0,0,0.00337837837837838,0,0,0.00337837837837838
Otu470,0,0,0,0,0,0,0,0,0,0.00675675675675676,0
