,X10_22S_H_C_2,X11_22S_H_C_2,X12_22S_H_C_2,X13_22S_H_C_2,X14_22S_H_C_2,X15_22S_H_C_2,X16_22S_H_C_2,X17_22S_H_C_2,X18_22S_H_C_2,X19_22S_H_C_2,X20_22S_H_C_2
Otu31,0.216216216216216,0.0675675675675676,0.0101351351351351,0.168918918918919,0.0304054054054054,0.202702702702703,0.10472972972973,0.152027027027027,0.0777027027027027,0.0337837837837838,0.0540540540540541
Otu201,0,0,0.00675675675675676,0,0,0,0.00675675675675676,0,0.00337837837837838,0.00337837837837838,0
Otu199,0,0,0,0,0,0.00675675675675676,0,0,0,0,0
Otu315,0.00675675675675676,0.0574324324324324,0,0,0,0,0,0,0,0,0
Otu212,0,0,0,0,0,0,0.0101351351351351,0,0.0168918918918919,0,0
Otu1856,0.0641891891891892,0.0168918918918919,0,0.00337837837837838,0.108108108108108,0.0337837837837838,0.0371621621621622,0.0168918918918919,0.0168918918918919,0.0337837837837838,0.027027027027027
Otu117,0.0202702702702703,0,0,0.0236486486486486,0.0337837837837838,0.00337837837837838,0.00675675675675676,0.0101351351351351,0.00675675675675676,0.0472972972972973,0.0371621621621622
Otu42,0.0777027027027027,0.0472972972972973,0.189189189189189,0.0574324324324324,0.0439189189189189,0.10472972972973,0.0844594594594595,0.125,0.135135135135135,0.0878378378378378,0.0202702702702703
Otu24,0.00675675675675676,0.0574324324324324,0.0878378378378378,0.0135135135135135,0.0135135135135135,0.0777027027027027,0.027027027027027,0.0405405405405405,0.00337837837837838,0.00337837837837838,0.027027027027027
Otu114,0,0,0,0.00675675675675676,0.0405405405405405,0.00337837837837838,0,0.0168918918918919,0,0,0
Otu198,0.027027027027027,0,0.00337837837837838,0.00337837837837838,0,0,0,0.0304054054054054,0.0709459459459459,0.0371621621621622,0.0304054054054054
Otu1768,0.0202702702702703,0.10472972972973,0,0,0,0,0,0,0,0,0
Otu57,0.0101351351351351,0,0.0168918918918919,0,0,0,0,0,0,0,0
Otu32,0.00337837837837838,0,0.0101351351351351,0,0.108108108108108,0.0236486486486486,0,0.0371621621621622,0.0202702702702703,0.0371621621621622,0.0337837837837838
Otu3873,0.00337837837837838,0.00675675675675676,0,0,0,0,0.0101351351351351,0.00337837837837838,0,0,0.00337837837837838
