,X10_12N_N_N_2,X11_12N_N_N_2,X12_12N_N_N_2,X13_12N_N_N_2,X14_12N_N_N_2,X15_12N_N_N_2,X16_12N_N_N_2,X17_12N_N_N_2,X18_12N_N_N_2,X19_12N_N_N_2,X20_12N_N_N_2
Otu234,0.0037593984962406,0.0018796992481203,0.0206766917293233,0.00845864661654135,0,0.00657894736842105,0.0018796992481203,0.0037593984962406,0.0018796992481203,0.00093984962406015,0
Otu411,0.0150375939849624,0.018796992481203,0.0244360902255639,0.0216165413533835,0,0,0.00093984962406015,0,0.0037593984962406,0.012218045112782,0.00281954887218045
Otu47,0.0328947368421053,0.109022556390977,0.0460526315789474,0.075187969924812,0.0808270676691729,0.0347744360902256,0.00845864661654135,0.0234962406015038,0.037593984962406,0.0150375939849624,0.0197368421052632
Otu2383,0.00093984962406015,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu285,0,0.00093984962406015,0,0,0.00281954887218045,0,0,0,0.00281954887218045,0,0
Otu402,0,0,0,0.00093984962406015,0.00093984962406015,0,0.00093984962406015,0,0,0,0
Otu1101,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu1915,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0,0
Otu195,0.0197368421052632,0.0159774436090226,0.0178571428571429,0.0216165413533835,0.0140977443609023,0.0432330827067669,0.012218045112782,0.0093984962406015,0.0150375939849624,0.0291353383458647,0.0281954887218045
Otu13013,0,0,0,0,0.0018796992481203,0,0,0,0,0,0
Otu1019,0.0018796992481203,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015
Otu433,0,0,0.0018796992481203,0,0,0,0,0,0,0,0
Otu11910,0,0,0,0.00281954887218045,0,0,0,0,0.0140977443609023,0.00093984962406015,0.00469924812030075
Otu13759,0,0,0,0,0,0,0,0,0.0018796992481203,0,0
Otu284,0.00093984962406015,0,0.00281954887218045,0.0018796992481203,0.00469924812030075,0,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.00093984962406015,0.00093984962406015
Otu677,0,0,0.0018796992481203,0,0,0,0.0018796992481203,0.00093984962406015,0.0018796992481203,0.00093984962406015,0.0037593984962406
Otu1395,0,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0,0
Otu1605,0.00093984962406015,0,0,0,0.00281954887218045,0.00093984962406015,0.00281954887218045,0,0,0.0018796992481203,0
Otu569,0.00281954887218045,0.00093984962406015,0.0037593984962406,0.00093984962406015,0,0.0075187969924812,0.0037593984962406,0.00093984962406015,0.0018796992481203,0.0018796992481203,0.00093984962406015
Otu1000,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0.0018796992481203,0,0,0.0018796992481203
Otu323,0.00281954887218045,0.00469924812030075,0.0018796992481203,0.00093984962406015,0.0056390977443609,0.0018796992481203,0.0037593984962406,0.00281954887218045,0.0093984962406015,0.0093984962406015,0.0056390977443609
Otu136,0.087406015037594,0.0112781954887218,0.0225563909774436,0.00281954887218045,0,0.0037593984962406,0.0112781954887218,0.0018796992481203,0.00469924812030075,0.00469924812030075,0.0131578947368421
Otu8517,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0.0018796992481203,0,0
Otu108,0.00093984962406015,0.00281954887218045,0.00093984962406015,0.00469924812030075,0.0225563909774436,0.00469924812030075,0.00469924812030075,0.00845864661654135,0.0018796992481203,0.0018796992481203,0.0037593984962406
Otu38,0.0037593984962406,0.0986842105263158,0.00845864661654135,0.0037593984962406,0,0,0,0,0,0,0.00281954887218045
Otu79,0.0441729323308271,0.0150375939849624,0.0253759398496241,0.0056390977443609,0.00469924812030075,0.0140977443609023,0.0216165413533835,0.00657894736842105,0.00469924812030075,0.00469924812030075,0.0037593984962406
Otu140,0.0150375939849624,0.0056390977443609,0.00469924812030075,0.0169172932330827,0.00469924812030075,0.00093984962406015,0.00093984962406015,0.0093984962406015,0.0075187969924812,0.00281954887218045,0.0037593984962406
Otu221,0.0103383458646617,0.0018796992481203,0.0150375939849624,0.0075187969924812,0.0018796992481203,0.00093984962406015,0.00469924812030075,0.0018796992481203,0.0112781954887218,0.0140977443609023,0.012218045112782
Otu12631,0,0.00093984962406015,0,0.00281954887218045,0.0018796992481203,0.00281954887218045,0,0,0,0.00093984962406015,0
Otu219,0.00657894736842105,0.0056390977443609,0.00469924812030075,0,0,0.0018796992481203,0,0.00281954887218045,0,0,0.0056390977443609
Otu10247,0,0,0,0,0,0,0,0.00093984962406015,0.0018796992481203,0,0
