,X10_15N_H_N_0,X11_15N_H_N_0,X12_15N_H_N_0,X13_15N_H_N_0,X14_15N_H_N_0,X15_15N_H_N_0,X16_15N_H_N_0,X17_15N_H_N_0,X18_15N_H_N_0,X19_15N_H_N_0,X20_15N_H_N_0
Otu234,0.00469924812030075,0.0056390977443609,0.00657894736842105,0.00469924812030075,0,0.018796992481203,0.0018796992481203,0.0018796992481203,0.00469924812030075,0.0037593984962406,0.0056390977443609
Otu411,0.00093984962406015,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0
Otu47,0.166353383458647,0.0761278195488722,0.156954887218045,0.100563909774436,0.0977443609022556,0.0535714285714286,0.0178571428571429,0.0479323308270677,0.0357142857142857,0.0225563909774436,0.0234962406015038
Otu2383,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu285,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0.0018796992481203,0
Otu402,0,0,0,0,0.00281954887218045,0,0,0.0018796992481203,0,0,0
Otu1101,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu195,0.00845864661654135,0.0150375939849624,0.0197368421052632,0.00469924812030075,0.0150375939849624,0.012218045112782,0.0075187969924812,0.0253759398496241,0.0206766917293233,0.018796992481203,0.018796992481203
Otu13013,0,0,0,0,0,0,0,0.0018796992481203,0,0,0.00093984962406015
Otu1019,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu433,0,0,0,0,0,0,0,0,0,0.0018796992481203,0
Otu11910,0.00281954887218045,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0
Otu13759,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu284,0.00093984962406015,0,0,0.00469924812030075,0,0.0056390977443609,0.0018796992481203,0.0037593984962406,0.0056390977443609,0.0056390977443609,0.0093984962406015
Otu3222,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu1395,0,0,0,0,0,0,0,0,0,0.00093984962406015,0.0018796992481203
