,X10_5S_H_C_0,X11_5S_H_C_0,X12_5S_H_C_0,X13_5S_H_C_0,X14_5S_H_C_0,X15_5S_H_C_0,X16_5S_H_C_0,X17_5S_H_C_0,X18_5S_H_C_0,X19_5S_H_C_0,X20_5S_H_C_0
Otu234,0.0178571428571429,0.00281954887218045,0.012218045112782,0.00281954887218045,0.00469924812030075,0.0178571428571429,0.00093984962406015,0.00093984962406015,0.00093984962406015,0.00281954887218045,0
Otu411,0,0.00093984962406015,0,0,0,0,0,0.00093984962406015,0,0.00469924812030075,0
Otu47,0.0892857142857143,0.131578947368421,0.0770676691729323,0.12593984962406,0.0892857142857143,0.0507518796992481,0.0300751879699248,0.0441729323308271,0.12687969924812,0.0723684210526316,0.0253759398496241
Otu2383,0,0,0,0,0,0.00469924812030075,0,0,0,0.00093984962406015,0
Otu285,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0,0
Otu402,0.00657894736842105,0,0,0,0,0.0018796992481203,0,0.00657894736842105,0,0.0018796992481203,0
Otu1915,0,0,0,0,0,0,0,0,0.0037593984962406,0,0
Otu195,0.0112781954887218,0.0131578947368421,0.0216165413533835,0.0103383458646617,0.0169172932330827,0.0093984962406015,0.0103383458646617,0.0150375939849624,0.0131578947368421,0.0234962406015038,0.0206766917293233
Otu13013,0,0,0.00281954887218045,0,0.0018796992481203,0,0,0,0,0.00093984962406015,0
Otu433,0.0103383458646617,0,0,0.012218045112782,0.012218045112782,0.0093984962406015,0,0,0,0.0018796992481203,0
Otu11910,0.00093984962406015,0,0,0.00093984962406015,0.00093984962406015,0,0.0037593984962406,0,0,0,0.0018796992481203
Otu13759,0.0037593984962406,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu284,0.0037593984962406,0,0.00093984962406015,0,0.00281954887218045,0.00093984962406015,0.00469924812030075,0.0037593984962406,0.0018796992481203,0.00093984962406015,0.00281954887218045
Otu677,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0,0,0
Otu1605,0,0,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0.00281954887218045,0,0.0018796992481203,0,0
Otu569,0,0.00093984962406015,0.0018796992481203,0,0.0018796992481203,0,0.00093984962406015,0,0,0,0.0018796992481203
Otu1682,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu1000,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu323,0.00845864661654135,0,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.0075187969924812,0.0037593984962406,0.00093984962406015,0.00281954887218045,0.00469924812030075,0.00845864661654135
Otu136,0.0197368421052632,0.0159774436090226,0.00469924812030075,0.0225563909774436,0.0244360902255639,0.0103383458646617,0.00845864661654135,0.0140977443609023,0.0112781954887218,0,0.0507518796992481
Otu1088,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu108,0.0056390977443609,0.0037593984962406,0.00845864661654135,0.00657894736842105,0.0018796992481203,0.0018796992481203,0.0018796992481203,0,0.0037593984962406,0.00093984962406015,0.00093984962406015
Otu38,0.0093984962406015,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu79,0.0225563909774436,0.0300751879699248,0.0056390977443609,0.0263157894736842,0.0093984962406015,0.0131578947368421,0.0535714285714286,0.0140977443609023,0.0131578947368421,0.00469924812030075,0.00845864661654135
Otu140,0.00469924812030075,0,0,0.00093984962406015,0.00093984962406015,0.0093984962406015,0.0093984962406015,0.00657894736842105,0.0018796992481203,0.0093984962406015,0.0018796992481203
Otu221,0.0075187969924812,0,0.00093984962406015,0,0.00281954887218045,0,0.00281954887218045,0.0056390977443609,0.00093984962406015,0.018796992481203,0.0075187969924812
Otu12631,0.00093984962406015,0,0.0093984962406015,0.00657894736842105,0.012218045112782,0.00093984962406015,0.00281954887218045,0,0,0.00093984962406015,0
Otu219,0,0,0.0037593984962406,0.00093984962406015,0.00093984962406015,0,0.0056390977443609,0.00093984962406015,0,0.00093984962406015,0.068609022556391
Otu10247,0,0,0,0,0,0.00093984962406015,0.0037593984962406,0,0,0,0
Otu240,0.0018796992481203,0.0018796992481203,0.00469924812030075,0.00281954887218045,0.0056390977443609,0.00281954887218045,0.0056390977443609,0.00469924812030075,0.00281954887218045,0.0056390977443609,0
Otu5352,0,0,0.00093984962406015,0.0093984962406015,0.00657894736842105,0,0,0,0,0,0
Otu1490,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu160,0.0075187969924812,0.0159774436090226,0.00657894736842105,0.0159774436090226,0.0140977443609023,0.0140977443609023,0.00469924812030075,0.00281954887218045,0.00281954887218045,0.0056390977443609,0.0140977443609023
Otu2271,0,0.00093984962406015,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0
Otu86,0.00093984962406015,0,0,0,0,0,0,0,0.0018796992481203,0.00093984962406015,0.0112781954887218
Otu1378,0.0018796992481203,0,0.00093984962406015,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0
Otu9158,0,0.00093984962406015,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0
Otu12670,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu589,0.00093984962406015,0,0,0.00845864661654135,0.0112781954887218,0.00469924812030075,0,0.0018796992481203,0,0.0018796992481203,0
Otu431,0.0103383458646617,0.0037593984962406,0.0112781954887218,0.0075187969924812,0.00657894736842105,0.0037593984962406,0.0018796992481203,0.00845864661654135,0.00281954887218045,0.00657894736842105,0
Otu437,0.00093984962406015,0,0.0037593984962406,0,0.00281954887218045,0,0.00281954887218045,0.00093984962406015,0.0018796992481203,0.00281954887218045,0.0018796992481203
Otu1713,0,0,0,0.00093984962406015,0.00469924812030075,0,0,0,0,0,0
Otu2850,0,0,0,0,0.00093984962406015,0.00281954887218045,0.00093984962406015,0,0,0,0
Otu14465,0,0,0,0,0.00281954887218045,0,0,0.00093984962406015,0,0,0
Otu652,0,0,0,0,0,0,0.00093984962406015,0.0018796992481203,0,0,0
Otu81,0,0,0,0,0,0,0,0.103383458646617,0.00093984962406015,0.0592105263157895,0
Otu4381,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0.00093984962406015,0,0
Otu145,0.00281954887218045,0.0131578947368421,0,0.00845864661654135,0.00281954887218045,0.0093984962406015,0.0780075187969925,0.00281954887218045,0.0018796992481203,0.00469924812030075,0.0131578947368421
