,X10_13S_N_C_0,X11_13S_N_C_0,X12_13S_N_C_0,X13_13S_N_C_0,X14_13S_N_C_0,X15_13S_N_C_0,X16_13S_N_C_0,X17_13S_N_C_0,X18_13S_N_C_0,X19_13S_N_C_0,X20_13S_N_C_0
Otu234,0.0056390977443609,0.00093984962406015,0.0037593984962406,0.0112781954887218,0.00281954887218045,0.00469924812030075,0.00845864661654135,0,0.0018796992481203,0,0.0018796992481203
Otu411,0,0.00093984962406015,0.0018796992481203,0,0.00093984962406015,0.0159774436090226,0.00093984962406015,0.0037593984962406,0.00469924812030075,0,0
Otu47,0.0808270676691729,0.139097744360902,0.154135338345865,0.116541353383459,0.150375939849624,0.0159774436090226,0.049812030075188,0.0225563909774436,0.0413533834586466,0.0140977443609023,0.0300751879699248
Otu2383,0,0,0,0,0,0,0,0.00093984962406015,0,0,0
Otu285,0.0037593984962406,0.00281954887218045,0.00093984962406015,0.00093984962406015,0,0,0,0,0.00281954887218045,0.00093984962406015,0
Otu402,0,0,0,0.00093984962406015,0,0.00093984962406015,0,0,0.00093984962406015,0,0
Otu1915,0,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu195,0.0018796992481203,0.0131578947368421,0.012218045112782,0.0169172932330827,0.0169172932330827,0.0131578947368421,0.0056390977443609,0.0197368421052632,0.0197368421052632,0.0075187969924812,0.0178571428571429
Otu1019,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu11910,0.0018796992481203,0,0,0.00469924812030075,0.00093984962406015,0,0,0,0,0,0.0169172932330827
Otu13759,0.00093984962406015,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu284,0,0.0037593984962406,0.00281954887218045,0,0.0018796992481203,0.00281954887218045,0.00281954887218045,0.0037593984962406,0.00093984962406015,0.00281954887218045,0.00093984962406015
Otu677,0,0.0018796992481203,0.00093984962406015,0.00281954887218045,0,0,0,0.00093984962406015,0.0018796992481203,0,0
Otu1395,0,0,0,0,0,0,0,0,0.00093984962406015,0,0.00093984962406015
Otu1605,0,0,0.00093984962406015,0,0.00093984962406015,0.0018796992481203,0,0,0,0,0
Otu569,0,0.0018796992481203,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0
Otu1682,0,0,0,0.00093984962406015,0,0,0.0018796992481203,0,0.00093984962406015,0,0
Otu1000,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0,0,0,0.0018796992481203
Otu323,0.0159774436090226,0,0.0018796992481203,0.00093984962406015,0.00093984962406015,0.0018796992481203,0.0037593984962406,0.0037593984962406,0.00657894736842105,0.0018796992481203,0.00845864661654135
Otu136,0.0075187969924812,0.0093984962406015,0.0037593984962406,0.0244360902255639,0.0159774436090226,0.00657894736842105,0.0056390977443609,0.0131578947368421,0.018796992481203,0.00845864661654135,0.0244360902255639
Otu8517,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu108,0.0018796992481203,0.0432330827067669,0.012218045112782,0.00093984962406015,0.0234962406015038,0.0037593984962406,0.012218045112782,0.0037593984962406,0.0056390977443609,0.0018796992481203,0.00093984962406015
Otu38,0,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0.504699248120301,0.00093984962406015
Otu79,0.012218045112782,0.0131578947368421,0.0140977443609023,0.0234962406015038,0.012218045112782,0.0056390977443609,0.00845864661654135,0.00281954887218045,0.0103383458646617,0.0037593984962406,0.00469924812030075
Otu140,0.0037593984962406,0,0.00093984962406015,0.0140977443609023,0.00281954887218045,0.012218045112782,0.0037593984962406,0,0.0018796992481203,0.0018796992481203,0.00469924812030075
Otu221,0.00093984962406015,0.00093984962406015,0.0037593984962406,0.012218045112782,0.00093984962406015,0,0.0075187969924812,0.0093984962406015,0.00657894736842105,0.00469924812030075,0.018796992481203
Otu12631,0.00093984962406015,0,0,0.00281954887218045,0.0037593984962406,0.0037593984962406,0.00281954887218045,0.0018796992481203,0.00093984962406015,0,0
Otu219,0.0150375939849624,0.00281954887218045,0.0018796992481203,0,0.00469924812030075,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203,0.00281954887218045
Otu10247,0,0.0037593984962406,0.00093984962406015,0.0037593984962406,0.00281954887218045,0.00093984962406015,0.0018796992481203,0.0018796992481203,0,0.0018796992481203,0.00093984962406015
Otu240,0.0037593984962406,0.0093984962406015,0.00657894736842105,0.00281954887218045,0.00281954887218045,0.0093984962406015,0.0056390977443609,0.012218045112782,0,0.00281954887218045,0.00093984962406015
Otu5352,0,0,0,0,0,0.0018796992481203,0,0,0.00093984962406015,0,0
Otu2500,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0
Otu160,0.0018796992481203,0.0018796992481203,0.0103383458646617,0.0169172932330827,0.0281954887218045,0.0037593984962406,0.00281954887218045,0.0103383458646617,0.0056390977443609,0.00281954887218045,0.0075187969924812
Otu2271,0,0,0,0,0,0.00093984962406015,0.0018796992481203,0,0,0,0
Otu86,0,0,0,0.00093984962406015,0,0.00093984962406015,0.0150375939849624,0.0159774436090226,0.0056390977443609,0.00469924812030075,0.0432330827067669
Otu1378,0,0.00093984962406015,0.00093984962406015,0.00281954887218045,0.00093984962406015,0.00093984962406015,0.00093984962406015,0,0.0018796992481203,0.00093984962406015,0.00281954887218045
Otu9158,0,0.00093984962406015,0,0.0018796992481203,0.00281954887218045,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0.00281954887218045,0
Otu12670,0,0,0,0,0,0.00093984962406015,0,0,0.0018796992481203,0,0
Otu1787,0,0,0.00093984962406015,0.0018796992481203,0.00093984962406015,0,0,0.0018796992481203,0,0,0
Otu589,0,0.00093984962406015,0,0,0.0018796992481203,0.00845864661654135,0,0.00093984962406015,0.0018796992481203,0,0
