,Taxo_all,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species,OTU,trophic_groups
1,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2316,N
2,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu201,N
3,Nematoda;Chromadorea;Chromadorea_X;;,0.999999984,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4040,N
4,Nematoda;Chromadorea;Chromadorea_X;;,0.998069233,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1764,N
5,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu9526,N
6,Nematoda;Chromadorea;Chromadorea_X;;,0.999999994,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7348,N
7,Nematoda;Chromadorea;Chromadorea_X;;,0.997659344,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2177,N
8,Nematoda;Chromadorea;Chromadorea_X;;,0.998714976,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7688,N
9,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1432,N
10,Nematoda;Chromadorea;Chromadorea_X;;,0.99513067,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3127,N
11,Nematoda;Chromadorea;Chromadorea_X;;,0.98221822,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1691,N
12,Nematoda;Chromadorea;Chromadorea_X;;,0.947693504,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu13245,N
13,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu953,N
14,Nematoda;Chromadorea;Chromadorea_X;;,0.999978531,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu641,N
15,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5743,N
16,Nematoda;Chromadorea;Chromadorea_X;;,0.949130942,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3996,N
17,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2523,N
18,Nematoda;Chromadorea;Chromadorea_X;;,0.999999988,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6191,N
19,Nematoda;Chromadorea;Chromadorea_X;;,0.999999998,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4756,N
20,Nematoda;Chromadorea;Chromadorea_X;;,0.999999987,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2484,N
21,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6962,N
22,Nematoda;Chromadorea;Chromadorea_X;;,0.999999998,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3302,N
23,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu8487,N
24,Nematoda;Chromadorea;Chromadorea_X;;,0.999476265,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5760,N
25,Nematoda;Chromadorea;Chromadorea_X;;,0.999651486,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1297,N
26,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3398,N
27,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu200,N
28,Nematoda;Chromadorea;Chromadorea_X;;,0.999999656,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7362,N
29,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu7445,N
30,Nematoda;Chromadorea;Chromadorea_X;;,0.999999999,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6044,N
31,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2409,N
32,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu42,N
33,Nematoda;Chromadorea;Chromadorea_X;;,0.999999999,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1065,N
34,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu14747,N
35,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3744,N
36,Nematoda;Chromadorea;Chromadorea_X;;,0.999999999,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6493,N
37,Nematoda;Chromadorea;Chromadorea_X;;,0.989378349,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu14412,N
38,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6860,N
39,Nematoda;Chromadorea;Chromadorea_X;;,0.99999995,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4728,N
40,Nematoda;Chromadorea;Chromadorea_X;;,0.999989497,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4165,N
41,Nematoda;Chromadorea;Chromadorea_X;;,0.999999996,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu10808,N
42,Nematoda;Chromadorea;Chromadorea_X;;,0.991971302,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu11889,N
43,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6323,N
44,Nematoda;Chromadorea;Chromadorea_X;;,0.97134034,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6986,N
45,Nematoda;Chromadorea;Chromadorea_X;;,0.876330512,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2274,N
46,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu12528,N
47,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5441,N
48,Nematoda;Chromadorea;Chromadorea_X;;,0.828306862,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1402,N
49,Nematoda;Chromadorea;Chromadorea_X;;,0.999999574,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu1283,N
50,Nematoda;Chromadorea;Chromadorea_X;;,0.999999698,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu493,N
51,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu109,N
52,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2211,N
53,Nematoda;Chromadorea;Chromadorea_X;;,0.999999987,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4034,N
54,Nematoda;Chromadorea;Chromadorea_X;;,0.999999339,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5289,N
55,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5288,N
56,Nematoda;Chromadorea;Chromadorea_X;;,0.927587386,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu5998,N
57,Nematoda;Chromadorea;Chromadorea_X;;,0.995033455,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3617,N
58,Nematoda;Chromadorea;Chromadorea_X;;,0.864399359,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu12551,N
59,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu92,N
60,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu6550,N
61,Nematoda;Chromadorea;Chromadorea_X;;,0.864813561,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu4269,N
62,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu316,N
63,Nematoda;Chromadorea;Chromadorea_X;;,0.957842408,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu9937,N
64,Nematoda;Chromadorea;Chromadorea_X;;,1,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu2378,N
65,Nematoda;Chromadorea;Chromadorea_X;;,0.919345571,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,,,Otu3116,N
