,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X10_10N_H_N_1,B2,N10,2010,normal,warming,1,1,0,unclipping,49.8,31.48,5.47,5.12,0.116,1.136,6.93,372,63,309,NA,1,6.97,9.078571429,7.8,90.07,-0.5615,18.59269886,2.52997944,4.382960026,1.852980586,1.875,2.199166667,4.074166667
X10_10S_H_C_1,B2,S10,2010,normal,warming,1,1,1,Clipping,66.6,16.87,2.65,3.6,0.082,0.733,6.76,400.9,0,400.9,NA,2,7.43,9.16,7.8,90.07,-0.5615,18.60978595,4.889235548,8.733524752,3.844289204,0.680833333,2.849166667,3.53
X10_11N_N_N_0,B2,N11,2010,half,unwarming,0,0.5,0,unclipping,160.4,23.03,41.79,4.93,0.129,1.237,6.49,476,246,230,NA,2,8.07,11.50285714,7.8,90.07,-0.5615,16.78443375,4.372905311,6.583072852,2.210167541,2.3975,1.783333333,4.180833333
X10_11S_N_C_0,B2,S11,2010,half,unwarming,0,0.5,1,Clipping,64.2,55.37,3.97,5.69,0.103,0.9,6.43,385.42,0,385.42,NA,5,7.37,9.316428571,7.8,90.07,-0.5615,16.80503701,5.419330761,8.028473013,2.609142252,1.3775,1.925,3.3025
X10_12N_N_N_2,B2,N12,2010,double,unwarming,0,2,0,unclipping,37.1,17.55,3.8,5.17,0.101,0.924,6.55,500,63,437,NA,10,6.33,8.347857143,7.8,90.07,-0.5615,16.13734803,5.016476995,5.947537941,0.931060946,0.789166667,2.655,3.444166667
X10_12S_N_C_2,B2,S12,2010,double,unwarming,0,2,1,Clipping,63.4,34.99,1.28,6.13,0.164,1.703,6.25,325.3,37.15,288.15,NA,7,4.95,7.972857143,7.8,90.07,-0.5615,21.93687803,5.471551352,8.371454174,2.899902822,2.235,1.479166667,3.714166667
X10_13N_N_N_0,B3,N13,2010,half,unwarming,0,0.5,0,unclipping,52.6,31.19,4.25,6.69,0.093,0.837,6.51,471,217,255,NA,5,8.53,8.987142857,7.8,90.07,-0.5615,16.65665219,6.016272814,7.908303355,1.89203054,1.143333333,2.685833333,3.829166667
X10_13S_N_C_0,B3,S13,2010,half,unwarming,0,0.5,1,Clipping,41,27.8,6.65,3.09,0.073,0.589,6.62,395.28,189.05,206.23,NA,4,6.45,8.352857143,7.8,90.07,-0.5615,16.79315653,5.639775978,8.178298856,2.538522878,1.786666667,2.864166667,4.650833333
X10_14N_N_N_2,B3,N14,2010,double,unwarming,0,2,0,unclipping,42.4,28.45,2.12,5.73,0.087,0.848,6.55,536,74,462,NA,7,7.12,9.591428571,7.8,90.07,-0.5615,16.33160187,7.273705785,8.656472352,1.382766567,0.859166667,3.063333333,3.9225
X10_14S_N_C_2,B3,S14,2010,double,unwarming,0,2,1,Clipping,62.4,37.59,3.38,5.97,0.136,1.404,6.38,484.33,224.45,259.88,NA,4,5.27,8.495714286,7.8,90.07,-0.5615,19.416165,6.589220507,9.088268795,2.499048288,2.396388889,2.652777778,5.049166667
X10_15N_H_N_0,B3,N15,2010,half,warming,1,0.5,0,unclipping,58.1,41.7,5.97,4.39,0.083,0.722,6.29,355,63,292,NA,3,6.37,11.22785714,7.8,90.07,-0.5615,20.14195956,4.376485616,6.30349092,1.927005304,1.0625,2.503333333,3.565833333
X10_15S_H_C_0,B3,S15,2010,half,warming,1,0.5,1,Clipping,39.4,27.24,22.94,4.31,0.091,0.766,6.16,411.92,11.69,400.23,NA,3,5.87,7.875714286,7.8,90.07,-0.5615,20.02985557,4.591545915,6.393535032,1.801989117,1.110833333,2.583333333,3.694166667
X10_16N_H_N_1,B4,N16,2010,normal,warming,1,1,0,unclipping,35,23.41,6.03,3.31,0.102,0.988,6.39,461,63,398,NA,2,7.03,10.31142857,7.8,90.07,-0.5615,18.74095051,3.47642491,5.734048523,2.257623614,1.058333333,2.431666667,3.49
X10_16S_H_C_1,B4,S16,2010,normal,warming,1,1,1,Clipping,59.3,35.38,9.89,2.76,0.1,0.894,6.25,408.43,102.43,306,NA,3,7.12,9.43,7.8,90.07,-0.5615,19.53367251,4.69565199,7.512721938,2.817069949,1.603333333,2.320833333,3.924166667
X10_17N_N_N_2,B4,N17,2010,double,unwarming,0,2,0,unclipping,45.6,29.87,0.56,2.98,0.049,0.369,6.66,536,82,454,NA,5,6.03,9.952857143,7.8,90.07,-0.5615,16.13378874,3.709387908,5.283963419,1.574575511,0.679166667,2.488333333,3.1675
X10_17S_N_C_2,B4,S17,2010,double,unwarming,0,2,1,Clipping,44.2,23.66,1.94,2.93,0.061,0.503,6.25,337.14,155.42,181.72,NA,4,5.73,8.29,7.8,90.07,-0.5615,17.04453657,6.612036415,9.796749845,3.18471343,1.620833333,2.9175,4.538333333
X10_18N_H_N_0,B4,N18,2010,half,warming,1,0.5,0,unclipping,62.1,33.45,6.43,2.66,0.077,0.637,6.32,516,90,426,NA,5,8.83,8.852857143,7.8,90.07,-0.5615,18.07430468,3.964352048,6.525278282,2.560926233,2.1025,2.030833333,4.133333333
X10_18S_H_C_0,B4,S18,2010,half,warming,1,0.5,1,Clipping,60.4,34.97,4.95,3.34,0.094,0.907,6.37,462.29,116.3,345.99,NA,6,8.17,8.218571429,7.8,90.07,-0.5615,19.8446459,4.851412064,7.933017834,3.081605769,0.979166667,2.6975,3.676666667
X10_19N_N_N_1,B3,N19,2010,normal,unwarming,0,1,0,unclipping,57.9,28.82,1.84,2.57,0.08,0.735,6.37,626,132,494,NA,7,6.77,7.332857143,7.8,90.07,-0.5615,16.3720066,3.679079873,4.210570452,0.531490579,0.69,2.205833333,2.895833333
X10_19S_N_C_1,B3,S19,2010,normal,unwarming,0,1,1,Clipping,72,46.19,3.21,3.55,0.088,0.793,6.19,509.59,65,444.59,NA,6,5.25,7.81,7.8,90.07,-0.5615,17.45281888,5.213502724,7.962184759,2.748682035,1.839166667,2.624166667,4.463333333
X10_1N_H_N_1,B1,N01,2010,normal,warming,1,1,0,unclipping,64.7,35.53,2.85,3.43,0.062,0.493,6.47,505,129,375,NA,6,6.85,8.687857143,7.8,90.07,-0.5615,18.16958944,3.598363484,6.932642416,3.334278932,0.8175,1.565,2.3825
X10_1S_H_C_1,B1,S01,2010,normal,warming,1,1,1,Clipping,58.5,32.49,7.37,3.83,0.092,0.881,6.49,570.51,258.08,312.43,NA,5,5.67,8.028571429,7.8,90.07,-0.5615,18.65152352,5.152755832,8.290805538,3.138049706,1.084166667,2.536666667,3.620833333
X10_20N_H_N_1,B3,N20,2010,normal,warming,1,1,0,unclipping,72.5,41.79,20.43,5.28,0.127,1.335,6.25,607,108,498,NA,5,6.47,8.706428571,7.8,90.07,-0.5615,19.840936,4.414959978,6.995434575,2.580474597,1.2475,2.08,3.3275
X10_20S_H_C_1,B3,S20,2010,normal,warming,1,1,1,Clipping,58.3,28.68,4.56,3.86,0.098,0.865,6,631.11,213.8,417.31,NA,9,6.23,8.173571429,7.8,90.07,-0.5615,19.840936,5.552345755,9.053458016,3.501112261,1.6775,2.3075,3.985
X10_21N_H_N_2,B3,N21,2010,double,warming,1,2,0,unclipping,32,13.6,12.05,5.64,0.086,0.766,6.21,455,76,379,NA,5,7.97,10.47785714,7.8,90.07,-0.5615,19.19096437,3.923073978,5.744044546,1.820970568,0.740833333,2.7225,3.463333333
X10_21S_H_C_2,B3,S21,2010,double,warming,1,2,1,Clipping,38.5,23.52,24.24,7.42,0.151,1.497,5.87,725.42,343.16,382.26,NA,8,8.7,10.23357143,7.8,90.07,-0.5615,19.99945799,4.489552567,7.599239048,3.109686481,1.381666667,1.9425,3.324166667
X10_22N_H_N_2,B4,N22,2010,double,warming,1,2,0,unclipping,35.8,17.33,7.23,6.33,0.109,1.147,6.96,533,79,454,NA,3,6.47,8.265714286,7.8,90.07,-0.5615,18.38920628,3.953530699,5.766572466,1.813041767,0.535,3.113333333,3.648333333
X10_22S_H_C_2,B4,S22,2010,double,warming,1,2,1,Clipping,75.9,46.12,17.44,4.67,0.121,1.199,6.79,498.41,213.75,284.66,NA,10,5.5,7.764285714,7.8,90.07,-0.5615,19.25306312,4.242760196,7.445427658,3.202667462,1.064166667,2.408333333,3.4725
X10_23N_N_N_1,B4,N23,2010,normal,unwarming,0,1,0,unclipping,49.6,31.53,0.85,4.64,0.093,1.008,6.63,626,68,558,NA,1,6.17,7.773571429,7.8,90.07,-0.5615,16.1802696,3.873619761,5.26221487,1.388595109,1.470833333,2.280833333,3.751666667
X10_23S_N_C_1,B4,S23,2010,normal,unwarming,0,1,1,Clipping,76.5,43.45,1.34,5.02,0.117,1.212,6.8,698.75,0,698.75,NA,3,5.43,6.864285714,7.8,90.07,-0.5615,16.79724074,6.584059884,8.606371453,2.022311569,1.835833333,2.205,4.040833333
X10_24N_N_N_0,B4,N24,2010,half,unwarming,0,0.5,0,unclipping,37.6,28.46,3.39,2.69,0.061,0.509,7.27,599,111,488,NA,6,7.92,10.41142857,7.8,90.07,-0.5615,16.36951269,5.555783121,7.968190153,2.412407032,1.155833333,2.188333333,3.344166667
X10_24S_N_C_0,B4,S24,2010,half,unwarming,0,0.5,1,Clipping,59.7,34.26,1.5,4.23,0.102,0.958,6.45,298.57,23.63,274.94,NA,4,6.95,9.375,7.8,90.07,-0.5615,17.01869339,5.355894314,6.837092589,1.481198275,1.259166667,2.316666667,3.575833333
X10_2N_H_N_0,B1,N02,2010,half,warming,1,0.5,0,unclipping,59.7,34.98,24.95,3.04,0.093,0.875,6.63,595,84,511,NA,4,8.52,9.505,7.8,90.07,-0.5615,18.19354395,2.964145751,5.353943084,2.389797334,1.165555556,2.3625,3.528055556
X10_2S_H_C_0,B1,S02,2010,half,warming,1,0.5,1,Clipping,48.9,31.59,10.18,2.42,0.076,0.648,7,369.12,2.37,366.75,NA,4,7.98,8.892857143,7.8,90.07,-0.5615,19.95061886,3.729240029,6.323363018,2.594122989,1.1025,2.299166667,3.401666667
X10_3N_N_N_1,B1,N03,2010,normal,unwarming,0,1,0,unclipping,50.5,32.3,2.2,3.68,0.073,0.712,6.38,464,174,290,NA,6,7.15,9.745714286,7.8,90.07,-0.5615,15.82261826,4.639439963,5.71484349,1.075403527,1.3325,1.9375,3.27
X10_3S_N_C_1,B1,S03,2010,normal,unwarming,0,1,1,Clipping,62.4,41.72,2.46,3.76,0.083,0.81,6.54,264.68,36.24,228.44,NA,6,6.23,9.393571429,7.8,90.07,-0.5615,16.3431022,4.754221521,7.425076732,2.670855211,1.621666667,2.1725,3.794166667
X10_4N_H_N_2,B2,N04,2010,double,warming,1,2,0,unclipping,46,30.87,6.45,3.35,0.086,0.779,6.4,582,63,519,NA,6,7.4,9.186428571,7.8,90.07,-0.5615,18.86669132,3.628086796,4.305610182,0.677523386,1.935833333,2.250833333,4.186666667
X10_4S_H_C_2,B2,S04,2010,double,warming,1,2,1,Clipping,55.7,32.77,7.13,8.41,0.076,0.615,6.68,581.37,206.19,375.18,NA,6,6.52,9.197142857,7.8,90.07,-0.5615,19.32366792,5.270484955,7.166421446,1.895936491,1.609166667,2.889166667,4.498333333
X10_5N_H_N_0,B2,N05,2010,half,warming,1,0.5,0,unclipping,53.5,43.74,5.38,2.78,0.075,0.6,6.29,626,63,563,NA,4,7.97,10.03785714,7.8,90.07,-0.5615,19.63548262,4.218462428,6.264470995,2.046008567,0.889166667,2.251666667,3.140833333
X10_5S_H_C_0,B2,S05,2010,half,warming,1,0.5,1,Clipping,69.3,43.19,9.01,3.07,0.11,1.014,6.25,406.22,41.73,364.49,NA,5,7.95,9.637857143,7.8,90.07,-0.5615,20.23270551,3.115845207,4.860476158,1.744630951,0.349166667,2.951666667,3.300833333
X10_6N_N_N_1,B2,N06,2010,normal,unwarming,0,1,0,unclipping,26.9,18.37,7.19,2.37,0.065,0.483,6.2,531,68,462,NA,4,6.88,9.189285714,7.8,90.07,-0.5615,16.27367226,4.314427801,5.964107425,1.649679624,1.4125,1.6,3.0125
X10_6S_N_C_1,B2,S06,2010,normal,unwarming,0,1,1,Clipping,67.5,49.49,3.03,3.53,0.083,0.668,6.52,464.55,43.59,420.96,NA,7,5.5,8.592142857,7.8,90.07,-0.5615,16.74814595,6.154765401,7.502589616,1.347824215,2.375833333,1.880833333,4.256666667
X10_7N_H_N_2,B1,N07,2010,double,warming,1,2,0,unclipping,70.9,45.97,12.73,3.49,0.093,0.838,6.3,595,63,532,NA,4,6.82,8.828571429,7.8,90.07,-0.5615,19.25847894,5.324791784,8.179609082,2.854817299,1.018333333,2.926666667,3.945
X10_7S_H_C_2,B1,S07,2010,double,warming,1,2,1,Clipping,62.2,41.43,3.54,3.02,0.081,0.739,6.41,355.82,0,355.82,NA,4,5.97,9.246428571,7.8,90.07,-0.5615,20.05515665,4.790940125,7.176857129,2.385917005,1.7425,2.485833333,4.228333333
X10_8N_N_N_0,B1,N08,2010,half,unwarming,0,0.5,0,unclipping,38.1,24.57,7.52,3.19,0.076,0.569,6.37,444,66,378,NA,4,8.2,11.21928571,7.8,90.07,-0.5615,16.95094195,4.939049449,6.993034231,2.053984782,1.830833333,1.911666667,3.7425
X10_8S_N_C_0,B1,S08,2010,half,unwarming,0,0.5,1,Clipping,61.3,38.96,2.64,2.13,0.061,0.427,6.61,468.51,59.39,409.12,NA,6,7.1,10.01714286,7.8,90.07,-0.5615,17.20486447,5.392289574,8.437930888,3.045641314,1.815,2.4175,4.2325
X10_9N_N_N_2,B1,N09,2010,double,unwarming,0,2,0,unclipping,88.4,62.03,4.42,3.23,0.092,0.688,6.39,390,63,326,NA,5,6.73,9.086428571,7.8,90.07,-0.5615,16.74300425,4.647296407,6.255636044,1.608339637,0.934166667,3.204166667,4.138333333
X10_9S_N_C_2,B1,S09,2010,double,unwarming,0,2,1,Clipping,50.1,28.09,1.59,2.69,0.078,0.713,6.58,586,126.29,459.71,NA,3,6.43,9.487142857,7.8,90.07,-0.5615,16.69456845,5.616655564,8.531469316,2.914813752,0.599166667,2.646666667,3.245833333
X11_10N_H_N_1,B2,N10,2011,normal,warming,1,1,0,unclipping,81.3,61.38,24.98,1.79,0.097,0.847,6.54,271,124,147,NA,9,6.97,8.586923077,13.3,55.01,-1.94791,20.63314456,3.44278196,5.758229699,2.315447739,1.361666667,1.785,3.146666667
X11_10S_H_C_1,B2,S10,2011,normal,warming,1,1,1,Clipping,53.4,43.74,89.9,7.89,0.141,1.39,5.84,238.41,0,238.41,NA,3,7.43,7.952307692,13.3,55.01,-1.94791,20.65934094,3.650220523,6.646520246,2.996299724,1.299166667,1.660833333,2.96
X11_11N_N_N_0,B2,N11,2011,half,unwarming,0,0.5,0,unclipping,85.9,79.49,37.3,1.97,0.081,0.761,6,241,66,175,NA,6,8.07,10.36923077,13.3,55.01,-1.94791,18.93352231,3.88967447,6.596561957,2.706887486,1.500833333,1.990833333,3.491666667
