plot,block,Precipitation,Warm,Clip,warm,precip,clip,Treatment,wetting,drying
N01,B1,normal,warming,unclipping,1,0,0,W,0,0
N02,B1,half,warming,unclipping,1,-0.5,0,WH,0,1
N03,B1,normal,unwarming,unclipping,0,0,0,Ctrl,0,0
N04,B2,double,warming,unclipping,1,1,0,WD,1,0
N05,B2,half,warming,unclipping,1,-0.5,0,WH,0,1
N06,B2,normal,unwarming,unclipping,0,0,0,Ctrl,0,0
N07,B1,double,warming,unclipping,1,1,0,WD,1,0
N08,B1,half,unwarming,unclipping,0,-0.5,0,H,0,1
N09,B1,double,unwarming,unclipping,0,1,0,D,1,0
N10,B2,normal,warming,unclipping,1,0,0,W,0,0
N11,B2,half,unwarming,unclipping,0,-0.5,0,H,0,1
N12,B2,double,unwarming,unclipping,0,1,0,D,1,0
N13,B3,half,unwarming,unclipping,0,-0.5,0,H,0,1
N14,B3,double,unwarming,unclipping,0,1,0,D,1,0
N15,B3,half,warming,unclipping,1,-0.5,0,WH,0,1
N16,B4,normal,warming,unclipping,1,0,0,W,0,0
N17,B4,double,unwarming,unclipping,0,1,0,D,1,0
N18,B4,half,warming,unclipping,1,-0.5,0,WH,0,1
N19,B3,normal,unwarming,unclipping,0,0,0,Ctrl,0,0
N20,B3,normal,warming,unclipping,1,0,0,W,0,0
N21,B3,double,warming,unclipping,1,1,0,WD,1,0
N22,B4,double,warming,unclipping,1,1,0,WD,1,0
N23,B4,normal,unwarming,unclipping,0,0,0,Ctrl,0,0
N24,B4,half,unwarming,unclipping,0,-0.5,0,H,0,1
S01,B1,normal,warming,clipping,1,0,1,WC,0,0
S02,B1,half,warming,clipping,1,-0.5,1,WHC,0,1
S03,B1,normal,unwarming,clipping,0,0,1,C,0,0
S04,B2,double,warming,clipping,1,1,1,WDC,1,0
S05,B2,half,warming,clipping,1,-0.5,1,WHC,0,1
S06,B2,normal,unwarming,clipping,0,0,1,C,0,0
S07,B1,double,warming,clipping,1,1,1,WDC,1,0
S08,B1,half,unwarming,clipping,0,-0.5,1,HC,0,1
S09,B1,double,unwarming,clipping,0,1,1,DC,1,0
S10,B2,normal,warming,clipping,1,0,1,WC,0,0
S11,B2,half,unwarming,clipping,0,-0.5,1,HC,0,1
S12,B2,double,unwarming,clipping,0,1,1,DC,1,0
S13,B3,half,unwarming,clipping,0,-0.5,1,HC,0,1
S14,B3,double,unwarming,clipping,0,1,1,DC,1,0
S15,B3,half,warming,clipping,1,-0.5,1,WHC,0,1
S16,B4,normal,warming,clipping,1,0,1,WC,0,0
S17,B4,double,unwarming,clipping,0,1,1,DC,1,0
S18,B4,half,warming,clipping,1,-0.5,1,WHC,0,1
S19,B3,normal,unwarming,clipping,0,0,1,C,0,0
S20,B3,normal,warming,clipping,1,0,1,WC,0,0
S21,B3,double,warming,clipping,1,1,1,WDC,1,0
S22,B4,double,warming,clipping,1,1,1,WDC,1,0
S23,B4,normal,unwarming,clipping,0,0,1,C,0,0
S24,B4,half,unwarming,clipping,0,-0.5,1,HC,0,1
